Quarter,Time,Down,ToGo,Location,CHI,HOU,Detail,EPB,EPA,week,year,game_id
4.0,5:11,2.0,3.0,CHI 35,10.0,19.0,Caleb Williams pass incomplete deep left intended for D.J. Moore,1.21,0.5,2.0,2024,31
4.0,5:02,3.0,3.0,CHI 35,10.0,19.0,Caleb Williams pass complete short left to Cole Kmet for 12 yards (tackle by Eric Murray),0.5,2.06,2.0,2024,31
4.0,4:31,1.0,10.0,CHI 47,10.0,19.0,Caleb Williams pass complete short right to Cole Kmet for 6 yards (tackle by Jalen Pitre),2.06,2.33,2.0,2024,31
4.0,4:11,2.0,4.0,HOU 47,10.0,19.0,"Caleb Williams pass incomplete short right. Penalty on Caleb Williams: Intentional Grounding, 10 yards (accepted)",2.33,0.3,2.0,2024,31
4.0,4:07,3.0,14.0,CHI 43,10.0,19.0,"Caleb Williams pass incomplete deep right intended for D.J. Moore. Penalty on Mario Edwards: Roughing the Passer, 15 yards (accepted) (no play)",0.3,2.79,2.0,2024,31
4.0,4:02,1.0,10.0,HOU 42,10.0,19.0,Caleb Williams sacked by Henry To'oTo'o for no gain,2.79,2.24,2.0,2024,31
4.0,3:36,2.0,10.0,HOU 42,10.0,19.0,Travis Homer up the middle for 6 yards (tackle by Jimmie Ward and Henry To'oTo'o),2.24,2.34,2.0,2024,31
4.0,3:01,3.0,4.0,HOU 36,10.0,19.0,Caleb Williams pass incomplete deep left intended for D.J. Moore,2.34,0.89,2.0,2024,31
4.0,2:56,4.0,4.0,HOU 36,13.0,19.0,Cairo Santos 54 yard field goal good,0.89,3.0,2.0,2024,31
4.0,2:51,,,CHI 35,13.0,19.0,"Cairo Santos kicks off 63 yards, returned by Steven Sims for 37 yards (tackle by Elijah Hicks)",0.0,1.53,2.0,2024,31
4.0,2:45,1.0,10.0,HOU 39,13.0,19.0,Dare Ogunbowale up the middle for no gain (tackle by Jack Sanborn and DeMarcus Walker),1.53,0.99,2.0,2024,31
4.0,2:03,2.0,10.0,HOU 39,13.0,19.0,Dare Ogunbowale right guard for 3 yards (tackle by Jaquan Brisker and T.J. Edwards),0.99,0.7,2.0,2024,31
4.0,1:57,3.0,7.0,HOU 42,13.0,19.0,"C.J. Stroud scrambles right end for no gain (tackle by Jaquan Brisker). Penalty on Tytus Howard: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",0.7,-0.63,2.0,2024,31
4.0,1:50,3.0,17.0,HOU 32,13.0,19.0,C.J. Stroud pass complete short left to Stefon Diggs for 4 yards (tackle by Kyler Gordon and Jaquan Brisker),-0.63,-0.98,2.0,2024,31
4.0,1:45,,,,,,Timeout #3 by Chicago Bears,,,2.0,2024,31
4.0,1:45,4.0,13.0,HOU 36,13.0,19.0,"Tommy Townsend punts 44 yards, fair catch by DeAndre Carter at CHI-20",-0.98,-0.28,2.0,2024,31
4.0,1:37,1.0,10.0,CHI 20,13.0,19.0,Caleb Williams pass complete short right to Rome Odunze for 27 yards (tackle by Jimmie Ward),0.28,2.06,2.0,2024,31
4.0,1:11,1.0,10.0,CHI 47,13.0,19.0,Caleb Williams pass incomplete short right intended for Gerald Everett,2.06,1.52,2.0,2024,31
4.0,1:07,2.0,10.0,CHI 47,13.0,19.0,Caleb Williams sacked by Danielle Hunter for -8 yards,1.52,-0.23,2.0,2024,31
4.0,0:42,3.0,18.0,CHI 39,13.0,19.0,"Caleb Williams scrambles left end for 1 yard (tackle by Jalen Pitre and Azeez Al-Shaair). Penalty on Braxton Jones: Illegal Formation, 5 yards (declined)",-0.23,-0.72,2.0,2024,31
4.0,0:34,4.0,17.0,CHI 40,13.0,19.0,Caleb Williams pass incomplete deep right intended for Rome Odunze,-0.72,-2.92,2.0,2024,31
4.0,0:30,1.0,10.0,CHI 40,13.0,19.0,C.J. Stroud kneels for -1 yards,2.92,2.24,2.0,2024,31
