Quarter,Time,Down,ToGo,Location,CHI,HOU,Detail,EPB,EPA,week,year,game_id
1.0,10:15,1.0,10.0,CHI 23,0.0,3.0,Caleb Williams pass complete short left to Gerald Everett for 2 yards (tackle by Jalen Pitre),0.48,0.2,2.0,2024,31
1.0,9:54,2.0,8.0,CHI 25,0.0,3.0,D'Andre Swift left tackle for -4 yards (tackle by Danielle Hunter and Folorunso Fatukasi),0.2,-1.02,2.0,2024,31
1.0,9:12,3.0,12.0,CHI 21,0.0,3.0,Caleb Williams pass complete short right to DeAndre Carter for 14 yards,-1.02,1.27,2.0,2024,31
1.0,8:47,1.0,10.0,CHI 35,0.0,3.0,Caleb Williams pass complete short left to DeAndre Carter for 12 yards (tackle by Jalen Pitre),1.27,2.06,2.0,2024,31
1.0,8:10,1.0,10.0,CHI 47,0.0,3.0,D'Andre Swift up the middle for no gain (tackle by Henry To'oTo'o),2.06,1.52,2.0,2024,31
1.0,7:32,2.0,10.0,CHI 47,0.0,3.0,Caleb Williams pass complete short right to D'Andre Swift for 8 yards (tackle by Henry To'oTo'o),1.52,1.88,2.0,2024,31
1.0,6:49,3.0,2.0,HOU 45,0.0,3.0,Caleb Williams pass complete short left to D.J. Moore for 19 yards (tackle by Calen Bullock and Azeez Al-Shaair),1.88,3.84,2.0,2024,31
1.0,6:05,1.0,10.0,HOU 26,0.0,3.0,D'Andre Swift left tackle for 2 yards (tackle by Azeez Al-Shaair),3.84,3.57,2.0,2024,31
1.0,5:23,2.0,8.0,HOU 24,0.0,3.0,D'Andre Swift up the middle for -1 yards (tackle by Azeez Al-Shaair and Henry To'oTo'o),3.57,2.74,2.0,2024,31
1.0,4:42,3.0,9.0,HOU 25,0.0,3.0,Caleb Williams sacked by and Will Anderson for -10 yards and Danielle Hunter for -10 yards,2.74,0.97,2.0,2024,31
1.0,3:55,4.0,19.0,HOU 35,3.0,3.0,Cairo Santos 53 yard field goal good,0.97,3.0,2.0,2024,31
1.0,3:51,,,CHI 35,3.0,3.0,"Cairo Santos kicks off 63 yards, returned by Robert Woods for 31 yards (tackle by Elijah Hicks and Jonathan Owens). Penalty on Kris Boyd: Offensive Holding, 10 yards (accepted)",0.0,0.48,2.0,2024,31
1.0,3:45,1.0,10.0,HOU 23,3.0,3.0,C.J. Stroud pass complete short middle to Nico Collins for 18 yards (tackle by Kyler Gordon),0.48,1.66,2.0,2024,31
1.0,3:09,1.0,10.0,HOU 41,3.0,3.0,Joe Mixon right end for 3 yards (tackle by Andrew Billings),1.66,1.53,2.0,2024,31
1.0,2:28,2.0,7.0,HOU 44,3.0,3.0,C.J. Stroud pass incomplete short right intended for Joe Mixon (defended by Montez Sweat),1.53,0.83,2.0,2024,31
1.0,2:21,3.0,7.0,HOU 44,3.0,3.0,C.J. Stroud pass complete short right to Nico Collins for 6 yards (tackle by Tyrique Stevenson),0.83,-0.06,2.0,2024,31
1.0,1:39,4.0,1.0,HOU 50,3.0,3.0,C.J. Stroud pass complete short right to Cade Stover for 18 yards (tackle by Tremaine Edmunds),-0.06,3.45,2.0,2024,31
1.0,0:59,1.0,10.0,CHI 32,3.0,3.0,Tank Dell right end for 18 yards (tackle by Kevin Byard),3.45,4.65,2.0,2024,31
1.0,0:11,1.0,10.0,CHI 14,3.0,3.0,"Joe Mixon right tackle for 1 yard (tackle by Darrell Taylor and Tremaine Edmunds). Penalty on Nico Collins: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",4.65,2.2,2.0,2024,31
2.0,15:00,2.0,24.0,CHI 28,3.0,9.0,"C.J. Stroud pass complete short middle to Nico Collins for 28 yards, touchdown. Penalty on Tyrique Stevenson: Illegal Use of Hands / Defense, 5 yards (declined)",2.2,7.0,2.0,2024,31
2.0,14:55,,,CHI 15,3.0,10.0,Ka'imi Fairbairn kicks extra point good,0.0,0.0,2.0,2024,31
2.0,14:55,,,HOU 35,3.0,10.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,31
2.0,14:55,1.0,10.0,CHI 30,3.0,10.0,Caleb Williams pass complete short middle to D.J. Moore for no gain (tackle by Kamari Lassiter),0.94,0.39,2.0,2024,31
2.0,14:29,2.0,10.0,CHI 30,3.0,10.0,Caleb Williams pass complete short right to Rome Odunze for 6 yards (tackle by Kamari Lassiter),0.39,0.5,2.0,2024,31
2.0,13:48,3.0,4.0,CHI 36,3.0,10.0,Caleb Williams pass incomplete short right,0.5,-0.98,2.0,2024,31
2.0,13:40,4.0,4.0,CHI 36,3.0,10.0,"Tory Taylor punts 41 yards, fair catch by Steven Sims at HOU-23",-0.98,-0.48,2.0,2024,31
2.0,13:33,1.0,10.0,HOU 23,3.0,10.0,Joe Mixon left guard for no gain (tackle by T.J. Edwards),0.48,-0.07,2.0,2024,31
2.0,12:56,2.0,10.0,HOU 23,3.0,10.0,C.J. Stroud pass incomplete short right intended for Joe Mixon (defended by Jaylon Johnson),-0.07,-0.76,2.0,2024,31
2.0,12:51,3.0,10.0,HOU 23,3.0,10.0,"C.J. Stroud pass complete deep left to Stefon Diggs for 21 yards CHI challenged the pass completion ruling, and the play was upheld.",-0.76,1.86,2.0,2024,31
2.0,12:30,1.0,10.0,HOU 44,3.0,10.0,C.J. Stroud pass complete deep right to Nico Collins for 18 yards (tackle by Kevin Byard),1.86,3.05,2.0,2024,31
2.0,11:50,1.0,10.0,CHI 38,3.0,10.0,Joe Mixon right tackle for 1 yard (tackle by Tremaine Edmunds),3.05,2.64,2.0,2024,31
2.0,11:12,2.0,9.0,CHI 37,3.0,10.0,Tank Dell right end for 3 yards (tackle by Austin Booker),2.64,2.34,2.0,2024,31
2.0,10:33,3.0,6.0,CHI 34,3.0,10.0,"C.J. Stroud pass complete short right to Stefon Diggs for 5 yards (tackle by Tyrique Stevenson) HOU challenged the short of the line to gain ruling, and the play was upheld.",2.34,1.62,2.0,2024,31
2.0,9:58,4.0,1.0,CHI 29,3.0,13.0,Ka'imi Fairbairn 47 yard field goal good,1.62,3.0,2.0,2024,31
2.0,9:55,,,HOU 35,3.0,13.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,31
2.0,9:55,1.0,10.0,CHI 30,3.0,13.0,D'Andre Swift up the middle for 7 yards (tackle by Henry To'oTo'o),0.94,1.34,2.0,2024,31
2.0,9:33,2.0,3.0,CHI 37,3.0,13.0,D'Andre Swift right guard for 2 yards (tackle by Henry To'oTo'o),1.34,0.89,2.0,2024,31
2.0,9:10,3.0,1.0,CHI 39,3.0,13.0,Caleb Williams up the middle for no gain (tackle by Henry To'oTo'o and Will Anderson),0.89,-0.78,2.0,2024,31
2.0,8:27,4.0,1.0,CHI 39,3.0,13.0,Khalil Herbert up the middle for 1 yard (tackle by Jimmie Ward and Kamari Lassiter),-0.78,1.6,2.0,2024,31
2.0,7:43,1.0,10.0,CHI 40,3.0,13.0,Caleb Williams pass complete short right to DeAndre Carter for 6 yards (tackle by Jimmie Ward and Azeez Al-Shaair),1.6,1.86,2.0,2024,31
2.0,7:04,2.0,4.0,CHI 46,3.0,13.0,Caleb Williams pass incomplete short left intended for D'Andre Swift,1.86,1.16,2.0,2024,31
2.0,6:58,,,,,,Timeout #2 by Chicago Bears,,,2.0,2024,31
2.0,6:58,3.0,4.0,CHI 46,3.0,13.0,"Penalty on Darnell Wright: False Start, 5 yards (accepted) (no play)",1.16,0.5,2.0,2024,31
2.0,6:58,3.0,9.0,CHI 41,3.0,13.0,Caleb Williams sacked by Derek Barnett for -8 yards,0.5,-1.18,2.0,2024,31
2.0,6:07,4.0,17.0,CHI 33,3.0,13.0,Tory Taylor punts 54 yards out of bounds,-1.18,0.32,2.0,2024,31
2.0,6:01,1.0,10.0,HOU 13,3.0,13.0,Joe Mixon left tackle for -2 yards (tackle by Jaquan Brisker),-0.32,-0.93,2.0,2024,31
2.0,5:21,2.0,12.0,HOU 11,3.0,13.0,C.J. Stroud pass complete short left to Joe Mixon for 8 yards (tackle by Tremaine Edmunds and Kyler Gordon),-0.93,-0.71,2.0,2024,31
2.0,4:35,3.0,4.0,HOU 19,3.0,13.0,C.J. Stroud sacked by Tremaine Edmunds for -7 yards,-0.71,-2.49,2.0,2024,31
2.0,3:50,4.0,11.0,HOU 12,3.0,13.0,Tommy Townsend punts 37 yards out of bounds,-2.49,-2.32,2.0,2024,31
2.0,3:42,1.0,10.0,HOU 49,3.0,13.0,Caleb Williams pass complete short right to D'Andre Swift for 7 yards (tackle by Calen Bullock),2.32,2.73,2.0,2024,31
2.0,3:10,2.0,3.0,HOU 42,3.0,13.0,D'Andre Swift up the middle for no gain (tackle by Jalen Pitre),2.73,2.02,2.0,2024,31
2.0,2:30,3.0,3.0,HOU 42,3.0,13.0,Caleb Williams pass complete short right to D.J. Moore for 16 yards (tackle by Jalen Pitre),2.02,3.84,2.0,2024,31
2.0,2:00,1.0,10.0,HOU 26,3.0,13.0,Caleb Williams pass complete short left to Gerald Everett for -1 yards (tackle by Will Anderson and Jalen Pitre),3.84,3.16,2.0,2024,31
2.0,1:16,2.0,11.0,HOU 27,3.0,13.0,Caleb Williams pass complete short middle to Khalil Herbert for 2 yards (tackle by Henry To'oTo'o),3.16,2.74,2.0,2024,31
2.0,1:11,,,,,,Timeout #2 by Houston Texans,,,2.0,2024,31
2.0,1:11,3.0,9.0,HOU 25,3.0,13.0,"Penalty on Darnell Wright: False Start, 5 yards (accepted) (no play)",2.74,2.08,2.0,2024,31
2.0,1:11,3.0,14.0,HOU 30,3.0,13.0,"Caleb Williams pass incomplete deep middle intended for DeAndre Carter. Penalty on Calen Bullock: Defensive Pass Interference, 24 yards (accepted) (no play)",2.08,5.83,2.0,2024,31
