Quarter,Time,Down,ToGo,Location,LVR,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Raiders to receive the opening kickoff.",,,2.0,2024,27
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 66 yards, returned by Ameer Abdullah for 25 yards (tackle by Chris Board and Josh Ross)",0.0,0.54,2.0,2024,27
1.0,14:54,1.0,10.0,LVR 24,0.0,0.0,"Gardner Minshew sacked by Odafe Oweh for -8 yards. Gardner Minshew fumbles (forced by Odafe Oweh), recovered by Kolton Miller at LV-16",0.54,-1.22,2.0,2024,27
1.0,14:11,2.0,18.0,LVR 16,0.0,0.0,Gardner Minshew pass complete short left to Zamir White for 2 yards (tackle by Brandon Stephens),-1.22,-1.64,2.0,2024,27
1.0,13:29,3.0,16.0,LVR 18,0.0,0.0,Alexander Mattison up the middle for -2 yards (tackle by Travis Jones),-1.64,-2.39,2.0,2024,27
1.0,12:53,4.0,18.0,LVR 16,0.0,0.0,"AJ Cole punts 54 yards, returned by Deonte Harty for 15 yards (tackle by Luke Masterson)",-2.39,-1.93,2.0,2024,27
1.0,12:39,1.0,10.0,BAL 45,0.0,0.0,Derrick Henry left tackle for 2 yards (tackle by Adam Butler),1.93,1.65,2.0,2024,27
1.0,12:03,2.0,8.0,BAL 47,0.0,0.0,Justice Hill right guard for no gain (tackle by Robert Spillane),1.65,0.96,2.0,2024,27
1.0,11:21,3.0,8.0,BAL 47,0.0,0.0,Lamar Jackson pass complete deep middle to Zay Flowers for 19 yards (tackle by Marcus Epps),0.96,3.31,2.0,2024,27
1.0,10:39,1.0,10.0,LVR 34,0.0,0.0,Lamar Jackson sacked by Maxx Crosby for -6 yards,3.31,1.96,2.0,2024,27
1.0,9:49,2.0,16.0,LVR 40,0.0,0.0,Justice Hill left end for 3 yards (tackle by Robert Spillane),1.96,1.69,2.0,2024,27
1.0,9:16,3.0,13.0,LVR 37,0.0,0.0,Lamar Jackson pass complete short left to Rashod Bateman for 7 yards (tackle by Robert Spillane),1.69,1.43,2.0,2024,27
1.0,8:34,4.0,6.0,LVR 30,0.0,3.0,Justin Tucker 48 yard field goal good,1.43,3.0,2.0,2024,27
1.0,8:29,,,BAL 35,0.0,3.0,"Justin Tucker kicks off no gain, returned by Ameer Abdullah for no gain (tackle by Ar'Darius Washington). Penalty on Chris Board: Illegal Formation, 5 yards (offset) . Penalty on Kana'i Mauga: Defensive Holding, 5 yards (offset) (no play)",0.0,0.0,2.0,2024,27
1.0,8:23,,,BAL 35,0.0,3.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,27
1.0,8:23,1.0,10.0,LVR 30,0.0,3.0,Zamir White left tackle for 2 yards (tackle by Brent Urban and Broderick Washington),0.94,0.66,2.0,2024,27
1.0,7:48,2.0,8.0,LVR 32,0.0,3.0,Gardner Minshew pass complete short left to Davante Adams for 6 yards (tackle by Roquan Smith),0.66,0.76,2.0,2024,27
1.0,7:07,3.0,2.0,LVR 38,0.0,3.0,Gardner Minshew pass complete short right to Davante Adams for 4 yards (tackle by Marlon Humphrey),0.76,1.73,2.0,2024,27
1.0,6:32,1.0,10.0,LVR 42,0.0,3.0,Gardner Minshew pass complete short middle to Tre Tucker for 6 yards (tackle by Roquan Smith),1.73,2.0,2.0,2024,27
1.0,5:50,2.0,4.0,LVR 48,0.0,3.0,Gardner Minshew pass complete short left to Ameer Abdullah for no gain (tackle by Nnamdi Madubuike),2.0,1.29,2.0,2024,27
1.0,5:13,3.0,4.0,LVR 48,0.0,3.0,Gardner Minshew sacked by Odafe Oweh for -8 yards,1.29,-0.72,2.0,2024,27
1.0,4:25,4.0,12.0,LVR 40,0.0,3.0,"AJ Cole punts 40 yards, fair catch by Deonte Harty at BAL-20",-0.72,-0.28,2.0,2024,27
1.0,4:19,1.0,10.0,BAL 20,0.0,3.0,Derrick Henry up the middle for -1 yards (tackle by Maxx Crosby),0.28,-0.46,2.0,2024,27
1.0,3:40,2.0,11.0,BAL 19,0.0,3.0,Derrick Henry right end for -5 yards (tackle by Marcus Epps),-0.46,-2.03,2.0,2024,27
1.0,3:02,3.0,16.0,BAL 14,0.0,3.0,Lamar Jackson pass complete short left to Justice Hill for 7 yards (tackle by Christian Wilkins),-2.03,-1.96,2.0,2024,27
1.0,2:23,4.0,9.0,BAL 21,0.0,3.0,"Jordan Stout punts 47 yards, returned by Tre Tucker for 8 yards (tackle by Chris Board)",-1.96,-1.6,2.0,2024,27
1.0,2:13,1.0,10.0,LVR 40,0.0,3.0,Gardner Minshew pass complete short middle to Jakobi Meyers for -1 yards (tackle by Marlon Humphrey),1.6,0.92,2.0,2024,27
1.0,1:41,2.0,11.0,LVR 39,0.0,3.0,Gardner Minshew pass complete short left to Tre Tucker for 7 yards (tackle by Kyle Hamilton),0.92,1.16,2.0,2024,27
1.0,0:57,3.0,4.0,LVR 46,0.0,3.0,Gardner Minshew pass incomplete short right,1.16,-0.32,2.0,2024,27
1.0,0:49,4.0,4.0,LVR 46,0.0,3.0,AJ Cole punts 34 yards downed by Kana'i Mauga,-0.32,-0.28,2.0,2024,27
1.0,0:40,1.0,10.0,BAL 20,0.0,3.0,Lamar Jackson pass complete short left to Charlie Kolar for 4 yards (tackle by Nate Hobbs),0.28,0.27,2.0,2024,27
2.0,15:00,2.0,6.0,BAL 24,0.0,3.0,Derrick Henry up the middle for -1 yards (tackle by Maxx Crosby),0.27,-0.56,2.0,2024,27
2.0,14:22,3.0,7.0,BAL 23,0.0,3.0,Lamar Jackson pass incomplete deep right intended for Mark Andrews,-0.56,-1.83,2.0,2024,27
2.0,14:16,4.0,7.0,BAL 23,0.0,3.0,"Jordan Stout punts 57 yards, returned by Tre Tucker for 8 yards (tackle by Charlie Kolar). Penalty on Amari Burney: Running Into the Kicker, 5 yards (declined)",-1.83,-0.81,2.0,2024,27
2.0,14:06,1.0,10.0,LVR 28,0.0,3.0,Zamir White right guard for 3 yards (tackle by Brent Urban and Malik Harrison),0.81,0.67,2.0,2024,27
2.0,13:28,2.0,7.0,LVR 31,0.0,3.0,Gardner Minshew pass complete short middle to Brock Bowers for 11 yards (tackle by Marlon Humphrey),0.67,1.73,2.0,2024,27
2.0,12:54,1.0,10.0,LVR 42,0.0,3.0,Gardner Minshew pass complete short right to Davante Adams for 8 yards (tackle by Marlon Humphrey),1.73,2.27,2.0,2024,27
2.0,12:16,2.0,2.0,LVR 50,0.0,3.0,Gardner Minshew pass complete short middle to Michael Mayer for 11 yards (tackle by Kyle Hamilton and Roquan Smith),2.27,2.98,2.0,2024,27
2.0,11:49,1.0,10.0,BAL 39,0.0,3.0,Gardner Minshew pass complete short right to Brock Bowers for 4 yards (tackle by Roquan Smith),2.98,2.98,2.0,2024,27
2.0,11:05,2.0,6.0,BAL 35,0.0,3.0,Zamir White right end for 3 yards (tackle by Odafe Oweh),2.98,2.68,2.0,2024,27
2.0,10:22,3.0,3.0,BAL 32,0.0,3.0,Ameer Abdullah up the middle for -3 yards (tackle by Nnamdi Madubuike and Travis Jones),2.68,0.97,2.0,2024,27
2.0,9:23,4.0,6.0,BAL 35,3.0,3.0,Daniel Carlson 53 yard field goal good,0.97,3.0,2.0,2024,27
2.0,9:19,,,LVR 35,3.0,3.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,27
2.0,9:19,1.0,10.0,BAL 30,3.0,3.0,Lamar Jackson pass complete deep right to Zay Flowers for 17 yards,0.94,2.06,2.0,2024,27
2.0,8:43,1.0,10.0,BAL 47,3.0,3.0,Lamar Jackson pass incomplete short right intended for Patrick Ricard (defended by Maxx Crosby),2.06,1.52,2.0,2024,27
2.0,8:40,2.0,10.0,BAL 47,3.0,3.0,Lamar Jackson pass complete short right to Isaiah Likely for 11 yards (tackle by Adam Butler),1.52,2.79,2.0,2024,27
2.0,8:02,1.0,10.0,LVR 42,3.0,3.0,Lamar Jackson pass complete short right to Derrick Henry for 12 yards (tackle by Tre'von Moehrig),2.79,3.58,2.0,2024,27
2.0,7:26,1.0,10.0,LVR 30,3.0,3.0,Derrick Henry left end for 2 yards (tackle by Charles Snowden),3.58,3.37,2.0,2024,27
2.0,6:42,2.0,7.0,LVR 28,3.0,3.0,Lamar Jackson left end for 3 yards (tackle by Marcus Epps),3.37,3.01,2.0,2024,27
2.0,6:09,3.0,5.0,LVR 25,3.0,3.0,Lamar Jackson pass incomplete short right intended for Zay Flowers,3.01,1.85,2.0,2024,27
2.0,6:04,4.0,5.0,LVR 25,3.0,6.0,Justin Tucker 42 yard field goal good,1.85,3.0,2.0,2024,27
2.0,6:00,,,BAL 35,3.0,6.0,"Justin Tucker kicks off 68 yards, returned by Ameer Abdullah for 35 yards (tackle by Josh Ross). Penalty on Chris Board: Unnecessary Roughness / Offense, 15 yards (accepted)",0.0,2.06,2.0,2024,27
2.0,5:54,1.0,10.0,LVR 47,3.0,6.0,DJ Turner right end for 2 yards (tackle by Travis Jones),2.06,1.79,2.0,2024,27
