Quarter,Time,Down,ToGo,Location,SFO,MIN,Detail,EPB,EPA,week,year,game_id
1.0,10:42,2.0,23.0,MIN 35,0.0,0.0,Sam Darnold pass complete right to Justin Jefferson for 13 yards (tackle by Ji'Ayir Brown),-0.17,0.89,2.0,2024,23
1.0,9:47,3.0,10.0,MIN 48,0.0,0.0,Sam Darnold pass incomplete short middle intended for Aaron Jones (defended by Fred Warner),0.89,-0.19,2.0,2024,23
1.0,9:43,4.0,10.0,MIN 48,0.0,0.0,"Ryan Wright punts 52 yards, touchback.",-0.19,-0.28,2.0,2024,23
1.0,9:31,1.0,10.0,SFO 20,0.0,0.0,Brock Purdy pass complete short left to George Kittle for 25 yards (tackle by Ivan Pace),0.28,1.93,2.0,2024,23
1.0,9:09,1.0,10.0,SFO 45,0.0,0.0,"Jordan Mason right end for no gain (tackle by Harrison Smith). Penalty on Deebo Samuel: Offensive Holding, 10 yards (accepted) (no play)",1.93,1.27,2.0,2024,23
1.0,8:37,1.0,20.0,SFO 35,0.0,0.0,Brock Purdy pass complete short left to Jauan Jennings for 12 yards (tackle by Blake Cashman and Harrison Smith),1.27,1.65,2.0,2024,23
1.0,7:58,2.0,8.0,SFO 47,0.0,0.0,Jordan Mason right end for 3 yards (tackle by Byron Murphy),1.65,1.36,2.0,2024,23
1.0,7:12,3.0,5.0,MIN 50,0.0,0.0,Brock Purdy pass incomplete deep middle intended for Jauan Jennings,1.36,-0.06,2.0,2024,23
1.0,7:04,4.0,5.0,MIN 50,0.0,0.0,Mitch Wishnowsky punts blocked by C.J. Ham (tackle by Eric Saubert),-0.06,-3.97,2.0,2024,23
1.0,6:55,1.0,10.0,SFO 24,0.0,0.0,Sam Darnold pass complete short right to Aaron Jones for 14 yards (tackle by Charvarius Ward),3.97,4.91,2.0,2024,23
1.0,6:15,1.0,10.0,SFO 10,0.0,0.0,Aaron Jones up the middle for 2 yards (tackle by Fred Warner),4.91,4.57,2.0,2024,23
1.0,5:36,2.0,8.0,SFO 8,0.0,0.0,Sam Darnold pass complete short right to Aaron Jones for 4 yards (tackle by Jordan Elliott),4.57,4.49,2.0,2024,23
1.0,4:58,3.0,4.0,SFO 4,0.0,0.0,Sam Darnold pass incomplete short left intended for Jalen Nailor (defended by George Odum),4.49,3.03,2.0,2024,23
1.0,4:48,4.0,4.0,SFO 4,0.0,3.0,Will Reichard 22 yard field goal good,3.03,3.0,2.0,2024,23
1.0,4:45,,,MIN 35,0.0,3.0,"Will Reichard kicks off 66 yards, returned by Deebo Samuel for 21 yards (tackle by Jay Ward and Akayleb Evans). Penalty on Renardo Green: Offensive Illegal Block Above the Waist, 10 yards (accepted)",0.0,-0.38,2.0,2024,23
1.0,4:40,1.0,10.0,SFO 10,0.0,3.0,"Penalty on Trent Williams: False Start, 5 yards (accepted) (no play)",-0.38,-0.57,2.0,2024,23
1.0,4:40,1.0,15.0,SFO 5,0.0,3.0,Brock Purdy pass complete short right to Deebo Samuel for 1 yard (tackle by Camryn Bynum and Blake Cashman),-0.57,-1.07,2.0,2024,23
1.0,4:00,2.0,14.0,SFO 6,0.0,3.0,Jordan Mason left end for 8 yards (tackle by Blake Cashman and Camryn Bynum),-1.07,-0.95,2.0,2024,23
1.0,3:13,3.0,6.0,SFO 14,0.0,3.0,Brock Purdy pass complete short middle to George Kittle for 10 yards (tackle by Camryn Bynum),-0.95,0.54,2.0,2024,23
1.0,2:32,1.0,10.0,SFO 24,0.0,3.0,Jordan Mason up the middle for 9 yards (tackle by Ivan Pace and Camryn Bynum),0.54,1.21,2.0,2024,23
1.0,1:48,,,,,,Timeout #1 by San Francisco 49ers,,,2.0,2024,23
1.0,1:48,2.0,1.0,SFO 33,0.0,3.0,Jordan Mason left guard for 5 yards (tackle by Taki Taimani and Blake Cashman),1.21,1.47,2.0,2024,23
1.0,1:11,1.0,10.0,SFO 38,0.0,3.0,"Jordan Mason right guard for no gain (tackle by Blake Cashman and Jonah Williams). Penalty on Jonathan Greenard: Defensive Offside, 5 yards (accepted) (no play)",1.47,2.2,2.0,2024,23
1.0,0:53,1.0,5.0,SFO 43,0.0,3.0,"Jordan Mason up the middle for no gain (tackle by Harrison Phillips). Penalty on Jonathan Bullard: Defensive Offside, 5 yards (accepted) (no play)",2.2,2.13,2.0,2024,23
1.0,0:29,1.0,10.0,SFO 48,0.0,3.0,Isaac Guerendo left tackle for no gain (tackle by Jerry Tillery and Ivan Pace),2.13,1.58,2.0,2024,23
2.0,15:00,2.0,10.0,SFO 48,0.0,3.0,Brock Purdy sacked by Andrew Van Ginkel for -4 yards,1.58,0.37,2.0,2024,23
2.0,14:25,3.0,14.0,SFO 44,0.0,3.0,Brock Purdy pass complete short left to George Kittle for 11 yards (tackle by Blake Cashman),0.37,0.27,2.0,2024,23
2.0,13:50,4.0,3.0,MIN 45,0.0,3.0,Brock Purdy pass complete deep left to Jauan Jennings for 25 yards (tackle by Camryn Bynum),0.27,4.24,2.0,2024,23
2.0,12:59,1.0,10.0,MIN 20,0.0,3.0,Jordan Mason right end for 9 yards (tackle by Josh Metellus),4.24,5.26,2.0,2024,23
2.0,12:20,2.0,1.0,MIN 11,0.0,3.0,Jordan Mason left guard for 7 yards (tackle by Harrison Smith),5.26,6.28,2.0,2024,23
2.0,11:42,1.0,4.0,MIN 4,0.0,3.0,Brock Purdy pass incomplete short left intended for Brandon Aiyuk,6.28,5.34,2.0,2024,23
2.0,11:28,,,,,,Timeout #2 by San Francisco 49ers,,,2.0,2024,23
2.0,11:28,2.0,4.0,MIN 4,0.0,3.0,Jordan Mason right guard for -1 yards (tackle by Ivan Pace),5.34,4.26,2.0,2024,23
2.0,10:52,3.0,5.0,MIN 5,0.0,3.0,Brock Purdy pass complete short right to George Kittle for 3 yards (tackle by Josh Metellus),4.26,3.25,2.0,2024,23
2.0,10:31,4.0,2.0,MIN 2,0.0,3.0,Brock Purdy pass incomplete short left intended for Jauan Jennings (defended by Andrew Van Ginkel) (defended by Harrison Smith),3.25,0.38,2.0,2024,23
2.0,10:27,1.0,10.0,MIN 2,0.0,3.0,"Penalty on Blake Brandel: False Start, 1 yard (accepted) (no play)",-0.38,-0.42,2.0,2024,23
2.0,10:27,1.0,11.0,MIN 1,0.0,3.0,Aaron Jones left tackle for 2 yards (tackle by Fred Warner and Kevin Givens),-0.42,-0.71,2.0,2024,23
2.0,9:51,2.0,9.0,MIN 3,0.0,9.0,"Sam Darnold pass complete deep middle to Justin Jefferson for 97 yards, touchdown",-0.71,7.0,2.0,2024,23
2.0,9:35,,,SFO 15,0.0,10.0,Will Reichard kicks extra point good,0.0,0.0,2.0,2024,23
2.0,9:35,,,MIN 35,0.0,10.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,23
2.0,9:35,1.0,10.0,SFO 30,0.0,10.0,Brock Purdy pass incomplete short left intended for Kyle Juszczyk,0.94,0.39,2.0,2024,23
2.0,9:31,2.0,10.0,SFO 30,0.0,10.0,Brock Purdy pass complete deep middle to Deebo Samuel for 19 yards (tackle by Stephon Gilmore),0.39,2.19,2.0,2024,23
2.0,8:51,1.0,10.0,SFO 49,0.0,10.0,Jordan Mason left tackle for 1 yard (tackle by Harrison Phillips and Blake Cashman),2.19,1.78,2.0,2024,23
2.0,8:12,2.0,9.0,MIN 50,0.0,10.0,Brock Purdy pass complete short middle to Kyle Juszczyk for 6 yards (tackle by Dallas Turner),1.78,1.88,2.0,2024,23
2.0,7:31,3.0,3.0,MIN 44,0.0,10.0,"Jordan Mason left tackle for 1 yard. Jordan Mason fumbles (tackle by Stephon Gilmore, recovered by Jordan Mason at MIN-43",1.88,0.4,2.0,2024,23
2.0,6:46,4.0,2.0,MIN 43,0.0,10.0,"Brock Purdy scrambles right tackle for 1 yard (tackle by Blake Cashman). Penalty on Brandon Aiyuk: Illegal Shift, 5 yards (declined)",0.4,-1.73,2.0,2024,23
2.0,6:36,1.0,10.0,MIN 42,0.0,10.0,Ty Chandler left guard for 7 yards (tackle by De'Vondre Campbell and Malik Mustapha),1.73,2.13,2.0,2024,23
2.0,5:57,2.0,3.0,MIN 49,0.0,10.0,Ty Chandler right end for 5 yards (tackle by Nick Bosa),2.13,2.52,2.0,2024,23
2.0,5:30,1.0,10.0,SFO 46,0.0,10.0,Ty Chandler right end for 25 yards (tackle by Ji'Ayir Brown),2.52,4.17,2.0,2024,23
2.0,4:52,1.0,10.0,SFO 21,0.0,10.0,Sam Darnold pass short middle intended for Trent Sherfield is intercepted by Fred Warner at SF-10 and returned for 25 yards (tackle by Christian Darrisaw and Sam Darnold),4.17,-1.27,2.0,2024,23
2.0,4:38,1.0,10.0,SFO 35,0.0,10.0,Brock Purdy pass complete deep middle to Deebo Samuel for 28 yards (tackle by Ivan Pace and Harrison Smith),1.27,3.12,2.0,2024,23
2.0,3:57,1.0,10.0,MIN 37,0.0,10.0,Jordan Mason left end for 7 yards (tackle by Jonathan Bullard and Ivan Pace),3.12,3.52,2.0,2024,23
2.0,3:19,2.0,3.0,MIN 30,0.0,10.0,Jordan Mason right end for 22 yards (tackle by Andrew Van Ginkel),3.52,5.37,2.0,2024,23
2.0,2:30,1.0,8.0,MIN 8,0.0,10.0,Jordan Mason up the middle for 1 yard (tackle by Ivan Pace and Blake Cashman),5.37,4.76,2.0,2024,23
2.0,2:00,2.0,7.0,MIN 7,6.0,10.0,"Brock Purdy pass complete short left to George Kittle for 7 yards, touchdown",4.76,7.0,2.0,2024,23
2.0,1:53,,,MIN 15,7.0,10.0,Jake Moody kicks extra point good,0.0,0.0,2.0,2024,23
2.0,1:53,,,SFO 35,7.0,10.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,23
2.0,1:53,1.0,10.0,MIN 30,7.0,10.0,Sam Darnold pass complete short middle to Jalen Nailor for 18 yards (tackle by Malik Mustapha),0.94,2.13,2.0,2024,23
2.0,1:29,1.0,10.0,MIN 48,7.0,10.0,Sam Darnold sacked by Nick Bosa for -5 yards,2.13,0.91,2.0,2024,23
2.0,1:18,,,,,,Timeout #2 by Minnesota Vikings,,,2.0,2024,23
