Unnamed: 0,ATL,PHI,week,year,game_id
First Downs,22,22,2.0,2024,32
Rush-Yds-TDs,28-152-0,37-186-1,2.0,2024,32
Cmp-Att-Yd-TD-INT,20-29-241-2-0,23-30-183-1-1,2.0,2024,32
Sacked-Yards,1-8,1-4,2.0,2024,32
Net Pass Yards,233,179,2.0,2024,32
Total Yards,385,365,2.0,2024,32
Fumbles-Lost,1-0,0-0,2.0,2024,32
Turnovers,0,1,2.0,2024,32
Penalties-Yards,3-40,9-53,2.0,2024,32
Third Down Conv.,2-9,6-13,2.0,2024,32
Fourth Down Conv.,1-2,2-3,2.0,2024,32
Time of Possession,24:21,35:39,2.0,2024,32
