Unnamed: 0,TAM,DET,week,year,game_id
First Downs,14,26,2.0,2024,22
Rush-Yds-TDs,23-70-1,27-139-1,2.0,2024,22
Cmp-Att-Yd-TD-INT,12-19-185-1-1,35-56-324-0-2,2.0,2024,22
Sacked-Yards,5-39,0-0,2.0,2024,22
Net Pass Yards,146,324,2.0,2024,22
Total Yards,216,463,2.0,2024,22
Fumbles-Lost,2-0,0-0,2.0,2024,22
Turnovers,1,2,2.0,2024,22
Penalties-Yards,4-35,4-71,2.0,2024,22
Third Down Conv.,2-10,7-17,2.0,2024,22
Fourth Down Conv.,0-0,3-5,2.0,2024,22
Time of Possession,26:07,33:53,2.0,2024,22
