Quarter,Time,Down,ToGo,Location,CIN,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Bengals to receive the opening kickoff.",,,2.0,2024,29
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,29
1.0,15:00,1.0,10.0,CIN 30,0.0,0.0,"Joe Burrow pass complete short right to Drew Sample for 8 yards. Drew Sample fumbles, ball out of bounds at CIN-38 (forced by Leo Chenal). Drew Sample fumbles out of bounds",0.94,1.47,2.0,2024,29
1.0,14:47,2.0,2.0,CIN 38,0.0,0.0,Joe Burrow pass complete short middle to Drew Sample for 12 yards (tackle by Drue Tranquill and Justin Reid),1.47,2.26,2.0,2024,29
1.0,14:10,1.0,10.0,KAN 50,0.0,0.0,Zack Moss left end for 1 yard (tackle by Leo Chenal and Michael Danna),2.26,1.85,2.0,2024,29
1.0,13:17,2.0,9.0,KAN 49,0.0,0.0,Joe Burrow pass complete short right to Ja'Marr Chase for 6 yards (tackle by Nick Bolton),1.85,1.95,2.0,2024,29
1.0,12:25,3.0,3.0,KAN 43,0.0,0.0,Joe Burrow pass incomplete short right intended for Trenton Irwin (defended by Nick Bolton),1.95,0.4,2.0,2024,29
1.0,12:14,4.0,3.0,KAN 43,0.0,0.0,Joe Burrow pass complete short right to Mike Gesicki for 37 yards (tackle by Bryan Cook),0.4,5.83,2.0,2024,29
1.0,11:37,1.0,6.0,KAN 6,0.0,0.0,Zack Moss right end for 2 yards (tackle by Justin Reid and Drue Tranquill),5.83,5.34,2.0,2024,29
1.0,10:56,2.0,4.0,KAN 4,0.0,0.0,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase (defended by Trent McDuffie),5.34,4.49,2.0,2024,29
1.0,10:49,,,,,,Timeout #1 by Cincinnati Bengals,,,2.0,2024,29
1.0,10:49,3.0,4.0,KAN 4,0.0,0.0,Joe Burrow pass incomplete short right intended for Trenton Irwin,4.49,3.03,2.0,2024,29
1.0,10:44,4.0,4.0,KAN 4,3.0,0.0,Evan McPherson 22 yard field goal good,3.03,3.0,2.0,2024,29
1.0,10:41,,,CIN 35,3.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,29
1.0,10:41,1.0,10.0,KAN 30,3.0,0.0,Isiah Pacheco right end for 1 yard (tackle by Germaine Pratt),0.94,0.53,2.0,2024,29
1.0,10:08,2.0,9.0,KAN 31,3.0,0.0,Isiah Pacheco right guard for 11 yards (tackle by Geno Stone and Vonn Bell),0.53,1.73,2.0,2024,29
1.0,9:31,1.0,10.0,KAN 42,3.0,0.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 5 yards (tackle by Logan Wilson),1.73,1.86,2.0,2024,29
1.0,8:54,2.0,5.0,KAN 47,3.0,0.0,Patrick Mahomes pass complete short left to Rashee Rice for 9 yards (tackle by Logan Wilson),1.86,2.65,2.0,2024,29
1.0,8:31,1.0,10.0,CIN 44,3.0,0.0,Patrick Mahomes scrambles right end for 9 yards (tackle by Daxton Hill),2.65,3.33,2.0,2024,29
1.0,7:53,2.0,1.0,CIN 35,3.0,0.0,Carson Steele up the middle for 9 yards (tackle by Geno Stone),3.33,3.84,2.0,2024,29
1.0,7:21,1.0,10.0,CIN 26,3.0,0.0,Isiah Pacheco right guard for 6 yards (tackle by Jay Tufele and Germaine Pratt),3.84,4.11,2.0,2024,29
1.0,6:49,2.0,4.0,CIN 20,3.0,0.0,Isiah Pacheco left guard for 8 yards (tackle by Geno Stone),4.11,4.78,2.0,2024,29
1.0,6:11,1.0,10.0,CIN 12,3.0,0.0,Patrick Mahomes pass complete short left to Justin Watson for 6 yards (tackle by Cam Taylor-Britt and Germaine Pratt),4.78,5.21,2.0,2024,29
1.0,5:37,2.0,4.0,CIN 6,3.0,0.0,Patrick Mahomes pass incomplete short right intended for Travis Kelce,5.21,4.38,2.0,2024,29
1.0,5:28,3.0,4.0,CIN 6,3.0,0.0,Isiah Pacheco left guard for 3 yards (tackle by Logan Wilson and Geno Stone),4.38,3.06,2.0,2024,29
1.0,4:55,4.0,1.0,CIN 3,3.0,0.0,Carson Steele up the middle for 1 yard (tackle by B.J. Hill and Logan Wilson),3.06,6.74,2.0,2024,29
1.0,4:20,1.0,2.0,CIN 2,3.0,0.0,Isiah Pacheco left guard for no gain (tackle by Sheldon Rankins and Logan Wilson),6.74,5.72,2.0,2024,29
1.0,3:47,2.0,2.0,CIN 2,3.0,0.0,Isiah Pacheco up the middle for no gain (tackle by Sam Hubbard and Jay Tufele),5.72,4.95,2.0,2024,29
1.0,3:06,3.0,2.0,CIN 2,3.0,0.0,Patrick Mahomes pass complete short right to Isiah Pacheco for 1 yard (tackle by Germaine Pratt and Vonn Bell),4.95,3.55,2.0,2024,29
1.0,2:13,4.0,1.0,CIN 1,3.0,3.0,Harrison Butker 19 yard field goal good,3.55,3.0,2.0,2024,29
1.0,2:11,,,KAN 35,3.0,3.0,"Harrison Butker kicks off 61 yards, returned by Trayveon Williams for 20 yards (tackle by Chamarri Conner)",0.0,0.54,2.0,2024,29
1.0,2:07,1.0,10.0,CIN 24,3.0,3.0,"Penalty on Trent Brown: False Start, 5 yards (accepted) (no play)",0.54,0.13,2.0,2024,29
1.0,2:07,1.0,15.0,CIN 19,3.0,3.0,Joe Burrow pass incomplete short right intended for Andrei Iosivas,0.13,-0.74,2.0,2024,29
1.0,2:03,2.0,15.0,CIN 19,3.0,3.0,Zack Moss right end for 6 yards (tackle by George Karlaftis and Drue Tranquill),-0.74,-0.56,2.0,2024,29
1.0,1:19,3.0,9.0,CIN 25,3.0,3.0,Joe Burrow scrambles up the middle for 3 yards (tackle by Michael Danna),-0.56,-1.5,2.0,2024,29
1.0,0:32,4.0,6.0,CIN 28,3.0,3.0,"Ryan Rehkow punts 45 yards, returned by Mecole Hardman for 2 yards (tackle by Tycen Anderson)",-1.5,-0.87,2.0,2024,29
1.0,0:28,1.0,10.0,KAN 29,3.0,3.0,Patrick Mahomes pass deep middle intended for Travis Kelce is intercepted by Akeem Davis-Gaither at KC-43 and returned for 12 yards (tackle by Trey Smith),0.87,-3.51,2.0,2024,29
1.0,0:19,1.0,10.0,KAN 31,3.0,3.0,Joe Burrow pass complete short left to Erick All for 9 yards (tackle by Nick Bolton),3.51,4.18,2.0,2024,29
2.0,15:00,2.0,1.0,KAN 22,3.0,3.0,Joe Burrow left guard for 1 yard (tackle by Drue Tranquill),4.18,4.17,2.0,2024,29
2.0,14:20,1.0,10.0,KAN 21,3.0,3.0,Chase Brown up the middle for 7 yards (tackle by Jaden Hicks),4.17,4.74,2.0,2024,29
2.0,13:39,2.0,3.0,KAN 14,3.0,3.0,Zack Moss left guard for 5 yards (tackle by Leo Chenal),4.74,5.14,2.0,2024,29
2.0,13:00,1.0,9.0,KAN 9,3.0,3.0,Joe Burrow pass complete short right to Trenton Irwin for 5 yards (tackle by Trent McDuffie),5.14,5.34,2.0,2024,29
2.0,12:21,2.0,4.0,KAN 4,3.0,3.0,Joe Burrow pass incomplete short right,5.34,4.49,2.0,2024,29
2.0,12:09,3.0,4.0,KAN 4,9.0,3.0,"Joe Burrow pass complete short left to Andrei Iosivas for 4 yards, touchdown",4.49,7.0,2.0,2024,29
2.0,12:04,,,KAN 15,10.0,3.0,Evan McPherson kicks extra point good,0.0,0.0,2.0,2024,29
2.0,12:04,,,CIN 35,10.0,3.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,29
2.0,12:04,1.0,10.0,KAN 30,10.0,3.0,Patrick Mahomes pass complete short right to Xavier Worthy for 5 yards (tackle by Daxton Hill),0.94,1.07,2.0,2024,29
2.0,11:30,2.0,5.0,KAN 35,10.0,3.0,Isiah Pacheco left guard for 10 yards (tackle by Vonn Bell and Germaine Pratt),1.07,1.93,2.0,2024,29
2.0,10:55,1.0,10.0,KAN 45,10.0,3.0,Xavier Worthy right end for 5 yards (tackle by Geno Stone),1.93,1.99,2.0,2024,29
2.0,10:22,2.0,6.0,KAN 50,10.0,3.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 1 yard (tackle by Akeem Davis-Gaither),1.99,1.42,2.0,2024,29
2.0,9:38,3.0,5.0,CIN 49,10.0,3.0,Patrick Mahomes scrambles left end for 5 yards (tackle by Logan Wilson),1.42,2.65,2.0,2024,29
2.0,8:57,1.0,10.0,CIN 44,10.0,9.0,"Patrick Mahomes pass complete deep left to Rashee Rice for 44 yards, touchdown",2.65,7.0,2.0,2024,29
2.0,8:50,,,CIN 15,10.0,10.0,Harrison Butker kicks extra point good,0.0,0.0,2.0,2024,29
2.0,8:50,,,KAN 35,10.0,10.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,29
2.0,8:50,1.0,10.0,CIN 30,10.0,10.0,Joe Burrow pass complete short right to Drew Sample for 8 yards (tackle by Jaylen Watson),0.94,1.47,2.0,2024,29
2.0,8:10,2.0,2.0,CIN 38,10.0,10.0,Zack Moss up the middle for 3 yards (tackle by Leo Chenal),1.47,1.66,2.0,2024,29
2.0,7:33,,,,,,Timeout #2 by Cincinnati Bengals,,,2.0,2024,29
2.0,7:33,1.0,10.0,CIN 41,10.0,10.0,Joe Burrow pass complete deep left to Erick All for 19 yards (tackle by Jaylen Watson),1.66,2.92,2.0,2024,29
2.0,7:01,1.0,10.0,KAN 40,10.0,10.0,Joe Burrow pass complete short left to Ja'Marr Chase for 12 yards (tackle by Jaylen Watson and Drue Tranquill),2.92,3.71,2.0,2024,29
2.0,6:14,1.0,10.0,KAN 28,10.0,10.0,Zack Moss left end for 2 yards (tackle by Tershawn Wharton and Drue Tranquill),3.71,3.44,2.0,2024,29
2.0,5:32,2.0,8.0,KAN 26,10.0,10.0,"Joe Burrow pass incomplete short left intended for Ja'Marr Chase. Penalty on Trent McDuffie: Defensive Pass Interference, 14 yards (accepted) (no play)",3.44,4.78,2.0,2024,29
2.0,5:16,1.0,10.0,KAN 12,10.0,10.0,Joe Burrow pass incomplete short left intended for Mike Gesicki,4.78,4.1,2.0,2024,29
2.0,5:13,2.0,10.0,KAN 12,10.0,10.0,Joe Burrow pass incomplete short right intended for Trenton Irwin (defended by Jaylen Watson),4.1,3.12,2.0,2024,29
2.0,5:07,3.0,10.0,KAN 12,10.0,10.0,Joe Burrow sacked by George Karlaftis for -3 yards,3.12,2.44,2.0,2024,29
2.0,4:23,4.0,13.0,KAN 15,13.0,10.0,Evan McPherson 33 yard field goal good,2.44,3.0,2.0,2024,29
2.0,4:19,,,CIN 35,13.0,10.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,29
2.0,4:19,1.0,10.0,KAN 30,13.0,10.0,Isiah Pacheco right tackle for 8 yards (tackle by Germaine Pratt),0.94,1.47,2.0,2024,29
2.0,3:46,2.0,2.0,KAN 38,13.0,10.0,Isiah Pacheco up the middle for 4 yards (tackle by Germaine Pratt),1.47,1.73,2.0,2024,29
2.0,3:09,1.0,10.0,KAN 42,13.0,10.0,Patrick Mahomes pass incomplete short left intended for Rashee Rice (defended by Cam Taylor-Britt),1.73,1.19,2.0,2024,29
2.0,3:05,2.0,10.0,KAN 42,13.0,10.0,"Carson Steele up the middle for 3 yards. Carson Steele fumbles (tackle by Sheldon Rankins, recovered by Germaine Pratt at KC-46",1.19,-2.52,2.0,2024,29
2.0,3:01,1.0,10.0,KAN 46,13.0,10.0,Joe Burrow pass complete short right to Erick All for -1 yards (tackle by Nick Bolton),2.52,1.84,2.0,2024,29
2.0,2:17,2.0,11.0,KAN 47,13.0,10.0,Joe Burrow pass complete short middle to Mike Gesicki for 12 yards (tackle by Justin Reid),1.84,3.25,2.0,2024,29
2.0,2:00,1.0,10.0,KAN 35,13.0,10.0,Chase Brown up the middle for 6 yards (tackle by Trent McDuffie),3.25,3.51,2.0,2024,29
2.0,1:53,,,,,,Timeout #1 by Kansas City Chiefs,,,2.0,2024,29
2.0,1:53,2.0,4.0,KAN 29,13.0,10.0,Joe Burrow pass incomplete deep left intended for Jermaine Burton,3.51,2.81,2.0,2024,29
