Quarter,Time,Down,ToGo,Location,NYJ,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Titans to receive the opening kickoff.",,,2.0,2024,26
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,26
1.0,15:00,1.0,10.0,TEN 30,0.0,0.0,Tony Pollard up the middle for 3 yards (tackle by Javon Kinlaw and C.J. Mosley),0.94,0.8,2.0,2024,26
1.0,14:19,2.0,7.0,TEN 33,0.0,0.0,Tony Pollard right guard for 5 yards (tackle by C.J. Mosley),0.8,0.76,2.0,2024,26
1.0,13:39,3.0,2.0,TEN 38,0.0,0.0,Will Levis sacked by Will McDonald for -2 yards,0.76,-0.98,2.0,2024,26
1.0,13:02,4.0,4.0,TEN 36,0.0,0.0,"Ryan Stonehouse punts 49 yards, returned by Xavier Gipson for 8 yards (tackle by Jarvis Brownlee and Mike Brown)",-0.98,-0.48,2.0,2024,26
1.0,12:51,1.0,10.0,NYJ 23,0.0,0.0,Breece Hall left end for 6 yards (tackle by Ernest Jones),0.48,0.74,2.0,2024,26
1.0,12:06,2.0,4.0,NYJ 29,0.0,0.0,Aaron Rodgers pass complete short right to Breece Hall for 3 yards (tackle by Ernest Jones),0.74,0.43,2.0,2024,26
1.0,11:20,3.0,1.0,NYJ 32,0.0,0.0,Breece Hall up the middle for 3 yards (tackle by Kenneth Murray),0.43,1.27,2.0,2024,26
1.0,10:44,1.0,10.0,NYJ 35,0.0,0.0,"Aaron Rodgers pass incomplete short right. Penalty on Aaron Rodgers: Intentional Grounding, 10 yards (accepted)",1.27,-0.63,2.0,2024,26
1.0,10:39,2.0,20.0,NYJ 25,0.0,0.0,Breece Hall up the middle for -2 yards (tackle by Kenneth Murray),-0.63,-1.55,2.0,2024,26
1.0,9:56,3.0,22.0,NYJ 23,0.0,0.0,Aaron Rodgers pass complete short right to Malachi Corley for 4 yards (tackle by Jeffery Simmons and Ernest Jones),-1.55,-1.57,2.0,2024,26
1.0,9:19,4.0,18.0,NYJ 27,0.0,0.0,"Thomas Morstead punts 50 yards, returned by Jha'Quan Jackson for 9 yards (tackle by Chazz Surratt and Jamien Sherwood)",-1.57,-1.07,2.0,2024,26
1.0,9:08,1.0,10.0,TEN 32,0.0,0.0,"Will Levis pass incomplete short right intended for Treylon Burks. Penalty on Tony Adams: Defensive Holding, 5 yards (accepted) (no play)",1.07,1.4,2.0,2024,26
1.0,9:03,1.0,10.0,TEN 37,0.0,0.0,Tyjae Spears right guard for 4 yards (tackle by Quinnen Williams),1.4,1.4,2.0,2024,26
1.0,8:27,2.0,6.0,TEN 41,0.0,0.0,Will Levis pass complete short right to Josh Whyle for 1 yard (tackle by Quincy Williams),1.4,0.83,2.0,2024,26
1.0,7:45,3.0,5.0,TEN 42,0.0,0.0,Will Levis pass complete short right to Calvin Ridley for 15 yards (tackle by Brandin Echols),0.83,2.72,2.0,2024,26
1.0,7:03,1.0,10.0,NYJ 43,0.0,0.0,"Tyjae Spears up the middle for no gain (tackle by C.J. Mosley). Penalty on Takkarist McKinley: Defensive Offside, 5 yards (accepted) (no play)",2.72,3.45,2.0,2024,26
1.0,6:42,1.0,5.0,NYJ 38,0.0,0.0,Tyjae Spears left guard for 7 yards (tackle by Michael Carter and Brandin Echols),3.45,3.51,2.0,2024,26
1.0,6:02,1.0,10.0,NYJ 31,0.0,0.0,Will Levis pass complete short right to Tyler Boyd for 9 yards (tackle by C.J. Mosley),3.51,4.18,2.0,2024,26
1.0,5:17,2.0,1.0,NYJ 22,0.0,0.0,Tony Pollard up the middle for 1 yard (tackle by Solomon Thomas and Takkarist McKinley),4.18,4.17,2.0,2024,26
1.0,4:35,1.0,10.0,NYJ 21,0.0,0.0,Tony Pollard right end for -1 yards (tackle by Jamien Sherwood),4.17,3.49,2.0,2024,26
1.0,3:51,2.0,11.0,NYJ 22,0.0,0.0,Will Levis pass complete short left to Josh Whyle for 12 yards (tackle by Brandin Echols),3.49,4.91,2.0,2024,26
1.0,3:03,1.0,10.0,NYJ 10,0.0,0.0,"Tony Pollard left tackle for no gain (tackle by Chuck Clark). Penalty on Peter Skoronski: Offensive Holding, 10 yards (offset) . Penalty on Solomon Thomas: Defensive Offside, 5 yards (offset) (no play)",4.91,4.91,2.0,2024,26
1.0,2:35,1.0,10.0,NYJ 10,0.0,6.0,"Calvin Ridley right end for 10 yards, touchdown",4.91,7.0,2.0,2024,26
1.0,2:30,,,NYJ 15,0.0,7.0,Nick Folk kicks extra point good,0.0,0.0,2.0,2024,26
1.0,2:30,,,TEN 35,0.0,7.0,"Nick Folk kicks off 57 yards, returned by Xavier Gipson for 24 yards (tackle by Darrell Baker)",0.0,1.07,2.0,2024,26
1.0,2:24,1.0,10.0,NYJ 32,0.0,7.0,Breece Hall left end for 1 yard (tackle by Arden Key),1.07,0.66,2.0,2024,26
1.0,1:45,2.0,9.0,NYJ 33,0.0,7.0,Breece Hall left guard for 3 yards (tackle by Jamal Adams),0.66,0.37,2.0,2024,26
1.0,1:03,3.0,6.0,NYJ 36,0.0,7.0,"Penalty on L'Jarius Sneed: Defensive Delay of Game, 5 yards (accepted) (no play)",0.37,1.03,2.0,2024,26
1.0,0:39,3.0,1.0,NYJ 41,0.0,7.0,Breece Hall up the middle for -2 yards (tackle by Ernest Jones and Jeffery Simmons),1.03,-0.78,2.0,2024,26
2.0,15:00,4.0,3.0,NYJ 39,0.0,7.0,"Thomas Morstead punts 45 yards, returned by Jha'Quan Jackson for no gain (tackle by Irvin Charles)",-0.78,0.14,2.0,2024,26
2.0,14:51,1.0,10.0,TEN 16,0.0,7.0,"Tony Pollard left tackle for 15 yards (tackle by Chuck Clark). Penalty on Chuck Clark: Horse Collar Tackle, 15 yards (accepted)",-0.14,1.99,2.0,2024,26
2.0,14:29,1.0,10.0,TEN 46,0.0,7.0,"Tony Pollard left end for no gain (tackle by Chazz Surratt). Penalty on Lloyd Cushenberry: Offensive Holding, 10 yards (accepted) (no play)",1.99,1.33,2.0,2024,26
2.0,14:00,1.0,20.0,TEN 36,0.0,7.0,Will Levis pass complete short right to Chigoziem Okonkwo for 7 yards (tackle by Jermaine Johnson),1.33,1.05,2.0,2024,26
2.0,13:18,2.0,13.0,TEN 43,0.0,7.0,Will Levis pass complete short right to Tyjae Spears for 6 yards (tackle by Jamien Sherwood and Quincy Williams),1.05,1.16,2.0,2024,26
2.0,12:30,3.0,7.0,TEN 49,0.0,7.0,"Will Levis pass incomplete short right intended for Calvin Ridley. Penalty on Jermaine Johnson: Roughing the Passer, 15 yards (accepted) (no play)",1.16,3.18,2.0,2024,26
2.0,12:25,1.0,10.0,NYJ 36,0.0,7.0,Tyjae Spears up the middle for 1 yard (tackle by Will McDonald and Jalyn Holmes),3.18,2.77,2.0,2024,26
2.0,11:42,2.0,9.0,NYJ 35,0.0,7.0,Will Levis pass complete short right to Tyler Boyd for 17 yards (tackle by Sauce Gardner and Jamien Sherwood),2.77,4.37,2.0,2024,26
2.0,11:00,1.0,10.0,NYJ 18,0.0,7.0,Tony Pollard left guard for no gain (tackle by Jamien Sherwood),4.37,3.8,2.0,2024,26
2.0,10:15,2.0,10.0,NYJ 18,0.0,7.0,Will Levis pass complete short right to Tony Pollard for 11 yards (tackle by Jamien Sherwood),3.8,5.6,2.0,2024,26
2.0,9:31,1.0,7.0,NYJ 7,0.0,7.0,Tony Pollard right guard for 1 yard (tackle by Quincy Williams),5.6,4.95,2.0,2024,26
2.0,8:50,2.0,6.0,NYJ 6,0.0,7.0,Will Levis pass incomplete short middle intended for Tony Pollard (defended by Solomon Thomas),4.95,4.04,2.0,2024,26
2.0,8:46,3.0,6.0,NYJ 6,0.0,7.0,"Will Levis sacked by Will McDonald for -6 yards. Will Levis fumbles (forced by Will McDonald), recovered by Quincy Williams at NYJ-12 (tackle by Tyjae Spears)",4.04,0.35,2.0,2024,26
2.0,8:40,1.0,10.0,NYJ 12,0.0,7.0,Aaron Rodgers pass incomplete short left intended for Breece Hall,-0.35,-0.78,2.0,2024,26
2.0,8:35,2.0,10.0,NYJ 12,0.0,7.0,Aaron Rodgers sacked by Harold Landry for -5 yards,-0.78,-2.01,2.0,2024,26
2.0,7:49,3.0,15.0,NYJ 7,0.0,7.0,Aaron Rodgers pass complete short middle to Breece Hall for 9 yards (tackle by Kenneth Murray),-2.01,-2.39,2.0,2024,26
2.0,7:10,4.0,6.0,NYJ 16,0.0,7.0,"Thomas Morstead punts 57 yards, returned by Jha'Quan Jackson for -2 yards (tackle by Irvin Charles)",-2.39,-0.61,2.0,2024,26
2.0,7:00,1.0,10.0,TEN 25,0.0,7.0,Will Levis pass deep left intended for Treylon Burks is intercepted by Brandin Echols at NYJ-27 and returned for no gain (tackle by Treylon Burks),0.61,-0.74,2.0,2024,26
2.0,6:52,1.0,10.0,NYJ 27,0.0,7.0,Aaron Rodgers scrambles right end for 2 yards (tackle by Jeffery Simmons),0.74,0.47,2.0,2024,26
2.0,6:21,2.0,8.0,NYJ 29,0.0,7.0,Aaron Rodgers pass incomplete short right intended for Braelon Allen (defended by Harold Landry),0.47,-0.23,2.0,2024,26
2.0,6:18,3.0,8.0,NYJ 29,0.0,7.0,Aaron Rodgers pass complete short middle to Allen Lazard for 8 yards (tackle by Roger McCreary),-0.23,1.4,2.0,2024,26
2.0,5:44,1.0,10.0,NYJ 37,0.0,7.0,Aaron Rodgers pass incomplete short left intended for Garrett Wilson,1.4,0.86,2.0,2024,26
2.0,5:39,2.0,10.0,NYJ 37,0.0,7.0,Aaron Rodgers pass complete short left to Braelon Allen for 11 yards (tackle by Quandre Diggs),0.86,2.13,2.0,2024,26
2.0,4:56,1.0,10.0,NYJ 48,0.0,7.0,Aaron Rodgers pass incomplete short right intended for Jeremy Ruckert,2.13,1.58,2.0,2024,26
2.0,4:50,2.0,10.0,NYJ 48,0.0,7.0,Aaron Rodgers pass complete short left to Garrett Wilson for 16 yards (tackle by Kenneth Murray),1.58,3.18,2.0,2024,26
2.0,4:09,1.0,10.0,TEN 36,0.0,7.0,Braelon Allen up the middle for 6 yards (tackle by Arden Key),3.18,3.45,2.0,2024,26
2.0,3:34,2.0,4.0,TEN 30,0.0,7.0,Aaron Rodgers pass complete short right to Breece Hall for 2 yards (tackle by Ernest Jones and Jaylen Harrell),3.45,3.01,2.0,2024,26
2.0,2:48,3.0,2.0,TEN 28,0.0,7.0,Aaron Rodgers pass complete short middle to Garrett Wilson for 6 yards (tackle by Amani Hooker),3.01,4.11,2.0,2024,26
2.0,2:01,,,,,,Timeout #1 by New York Jets,,,2.0,2024,26
2.0,2:01,1.0,10.0,TEN 22,0.0,7.0,Aaron Rodgers pass complete short left to Tyler Conklin for 10 yards (tackle by Kenneth Murray and L'Jarius Sneed),4.11,4.78,2.0,2024,26
2.0,1:55,1.0,10.0,TEN 12,6.0,7.0,"Aaron Rodgers pass complete short left to Braelon Allen for 12 yards, touchdown",4.78,7.0,2.0,2024,26
2.0,1:47,,,TEN 15,7.0,7.0,Greg Zuerlein kicks extra point good,0.0,0.0,2.0,2024,26
