Unnamed: 0,SEA,NWE,week,year,game_id
First Downs,18,19,2.0,2024,24
Rush-Yds-TDs,19-46-1,36-185-1,2.0,2024,24
Cmp-Att-Yd-TD-INT,33-44-327-1-0,15-27-149-1-0,2.0,2024,24
Sacked-Yards,3-15,3-24,2.0,2024,24
Net Pass Yards,312,125,2.0,2024,24
Total Yards,358,310,2.0,2024,24
Fumbles-Lost,0-0,1-0,2.0,2024,24
Turnovers,0,0,2.0,2024,24
Penalties-Yards,6-50,3-42,2.0,2024,24
Third Down Conv.,7-15,6-16,2.0,2024,24
Fourth Down Conv.,1-2,0-0,2.0,2024,24
Time of Possession,29:41,35:42,2.0,2024,24
