Quarter,Time,Down,ToGo,Location,IND,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss and deferred, Packers to receive the opening kickoff.",,,2.0,2024,20
1.0,15:00,,,IND 35,0.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,20
1.0,15:00,1.0,10.0,GNB 30,0.0,0.0,Josh Jacobs up the middle for 3 yards (tackle by Zaire Franklin and Grover Stewart),0.94,0.8,2.0,2024,20
1.0,14:31,2.0,7.0,GNB 33,0.0,0.0,Josh Jacobs up the middle for 12 yards (tackle by Jaylon Jones and Rodney Thomas),0.8,1.93,2.0,2024,20
1.0,13:53,1.0,10.0,GNB 45,0.0,0.0,"Malik Willis pass complete short right to Tucker Kraft for no gain (tackle by E.J. Speed). Penalty on Josh Myers: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.93,1.6,2.0,2024,20
1.0,13:30,1.0,15.0,GNB 40,0.0,0.0,"MarShawn Lloyd left end for 5 yards (tackle by Rodney Thomas). Penalty on Bo Melton: Offensive Holding, 10 yards (accepted)",1.6,1.27,2.0,2024,20
1.0,13:13,1.0,20.0,GNB 35,0.0,0.0,Josh Jacobs left tackle for 34 yards (tackle by Rodney Thomas),1.27,3.51,2.0,2024,20
1.0,12:38,1.0,10.0,IND 31,0.0,0.0,Emanuel Wilson up the middle for 3 yards (tackle by Nick Cross and Zaire Franklin),3.51,3.37,2.0,2024,20
1.0,12:13,2.0,7.0,IND 28,0.0,0.0,Emanuel Wilson right end for no gain (tackle by Dayo Odeyingbo and Zaire Franklin),3.37,2.68,2.0,2024,20
1.0,11:26,3.0,7.0,IND 28,0.0,0.0,Malik Willis pass complete short left to Jayden Reed for no gain (tackle by Nick Cross),2.68,1.59,2.0,2024,20
1.0,10:34,4.0,7.0,IND 28,0.0,3.0,Brayden Narveson 46 yard field goal good,1.59,3.0,2.0,2024,20
1.0,10:30,,,GNB 35,0.0,3.0,"Brayden Narveson kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,20
1.0,10:30,1.0,10.0,IND 30,0.0,3.0,Jonathan Taylor up the middle for 3 yards (tackle by Quay Walker and Kenny Clark),0.94,0.8,2.0,2024,20
1.0,9:55,2.0,7.0,IND 33,0.0,3.0,Anthony Richardson pass incomplete short left intended for Adonai Mitchell,0.8,0.1,2.0,2024,20
