Unnamed: 0,CIN,KAN,week,year,game_id
First Downs,18,19,2.0,2024,29
Rush-Yds-TDs,22-74-0,32-149-0,2.0,2024,29
Cmp-Att-Yd-TD-INT,23-36-258-2-0,18-25-151-2-2,2.0,2024,29
Sacked-Yards,3-12,2-14,2.0,2024,29
Net Pass Yards,246,137,2.0,2024,29
Total Yards,320,286,2.0,2024,29
Fumbles-Lost,3-1,1-1,2.0,2024,29
Turnovers,1,3,2.0,2024,29
Penalties-Yards,8-79,4-44,2.0,2024,29
Third Down Conv.,4-13,1-8,2.0,2024,29
Fourth Down Conv.,2-2,2-2,2.0,2024,29
Time of Possession,31:29,28:31,2.0,2024,29
