Quarter,Time,Down,ToGo,Location,LAC,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Chargers to receive the opening kickoff.",,,2.0,2024,18
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Pineiro kicks off 60 yards, returned by Derius Davis for 13 yards (tackle by Feleipe Franks). Penalty on Feleipe Franks: Offensive Facemask, 15 yards (accepted)",0.0,1.14,2.0,2024,18
1.0,14:54,1.0,10.0,LAC 33,0.0,0.0,Justin Herbert pass complete short left to Quentin Johnston for 3 yards (tackle by A'Shawn Robinson and Shy Tuttle),1.14,1.0,2.0,2024,18
1.0,14:15,2.0,7.0,LAC 36,0.0,0.0,J.K. Dobbins up the middle for 5 yards (tackle by Shaq Thompson and Nick Thurman),1.0,0.96,2.0,2024,18
1.0,13:36,3.0,2.0,LAC 41,0.0,0.0,J.K. Dobbins right tackle for 11 yards (tackle by Jordan Fuller and Xavier Woods),0.96,2.39,2.0,2024,18
1.0,12:57,1.0,10.0,CAR 48,0.0,0.0,J.K. Dobbins left end for 3 yards (tackle by A'Shawn Robinson),2.39,2.25,2.0,2024,18
1.0,12:12,2.0,7.0,CAR 45,0.0,0.0,"Justin Herbert pass incomplete short right intended for Hayden Hurst (defended by Shaq Thompson). Penalty on Jadeveon Clowney: Illegal Use of Hands / Defense, 5 yards (accepted) (no play)",2.25,2.92,2.0,2024,18
1.0,12:06,1.0,10.0,CAR 40,0.0,0.0,J.K. Dobbins left end for no gain (tackle by Josey Jewell and Xavier Woods),2.92,2.37,2.0,2024,18
1.0,11:24,2.0,10.0,CAR 40,0.0,0.0,Justin Herbert pass complete short middle to Ladd McConkey for 11 yards (tackle by Troy Hill),2.37,3.64,2.0,2024,18
1.0,10:44,1.0,10.0,CAR 29,0.0,0.0,Gus Edwards left end for 5 yards (tackle by Shaq Thompson),3.64,3.78,2.0,2024,18
1.0,10:00,2.0,5.0,CAR 24,0.0,0.0,"Gus Edwards left guard for 7 yards. Penalty on Quentin Johnston: Illegal Formation, 5 yards (accepted) (no play)",3.78,3.1,2.0,2024,18
1.0,9:32,2.0,10.0,CAR 29,0.0,0.0,"Justin Herbert pass complete short middle to Eric Tomlinson for no gain. Eric Tomlinson fumbles (forced by Jaycee Horn), recovered by Troy Hill at CAR-24 (tackle by Derius Davis) Replay Assistant challenged the fumble ruling, and the original play was overturned. Justin Herbert pass incomplete short right intended for Eric Tomlinson (defended by Jaycee Horn)",3.1,2.41,2.0,2024,18
1.0,9:26,3.0,10.0,CAR 29,6.0,0.0,"Justin Herbert pass complete deep left to Quentin Johnston for 29 yards, touchdown",2.41,7.0,2.0,2024,18
1.0,9:20,,,CAR 15,6.0,0.0,Cameron Dicker kicks extra point no good,0.0,-1.0,2.0,2024,18
1.0,9:20,,,LAC 35,6.0,0.0,"Cameron Dicker kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,18
1.0,9:20,1.0,10.0,CAR 30,6.0,0.0,Chuba Hubbard up the middle for 5 yards (tackle by Elijah Molden and Ja'Sir Taylor),0.94,1.07,2.0,2024,18
