Unnamed: 0,LVR,BAL,week,year,game_id
First Downs,18,21,2.0,2024,27
Rush-Yds-TDs,17-27-1,27-151-1,2.0,2024,27
Cmp-Att-Yd-TD-INT,30-38-276-1-1,21-34-247-1-1,2.0,2024,27
Sacked-Yards,5-43,2-15,2.0,2024,27
Net Pass Yards,233,232,2.0,2024,27
Total Yards,260,383,2.0,2024,27
Fumbles-Lost,1-0,0-0,2.0,2024,27
Turnovers,1,1,2.0,2024,27
Penalties-Yards,3-15,11-109,2.0,2024,27
Third Down Conv.,4-12,3-11,2.0,2024,27
Fourth Down Conv.,0-1,1-1,2.0,2024,27
Time of Possession,30:43,29:17,2.0,2024,27
