Unnamed: 0,LAC,CAR,week,year,game_id
First Downs,21,7,2.0,2024,18
Rush-Yds-TDs,44-219-1,18-90-0,2.0,2024,18
Cmp-Att-Yd-TD-INT,14-20-130-2-1,18-26-84-0-1,2.0,2024,18
Sacked-Yards,1-0,2-15,2.0,2024,18
Net Pass Yards,130,69,2.0,2024,18
Total Yards,349,159,2.0,2024,18
Fumbles-Lost,1-1,0-0,2.0,2024,18
Turnovers,2,1,2.0,2024,18
Penalties-Yards,3-15,9-90,2.0,2024,18
Third Down Conv.,9-16,1-12,2.0,2024,18
Fourth Down Conv.,0-0,1-3,2.0,2024,18
Time of Possession,36:18,23:42,2.0,2024,18
