Unnamed: 0,IND,GNB,week,year,game_id
First Downs,19,19,2.0,2024,20
Rush-Yds-TDs,18-140-0,53-261-0,2.0,2024,20
Cmp-Att-Yd-TD-INT,17-34-204-1-3,12-14-122-1-0,2.0,2024,20
Sacked-Yards,1-6,0-0,2.0,2024,20
Net Pass Yards,198,122,2.0,2024,20
Total Yards,338,383,2.0,2024,20
Fumbles-Lost,3-0,2-1,2.0,2024,20
Turnovers,3,1,2.0,2024,20
Penalties-Yards,3-20,6-50,2.0,2024,20
Third Down Conv.,2-9,10-17,2.0,2024,20
Fourth Down Conv.,1-2,0-0,2.0,2024,20
Time of Possession,19:49,40:11,2.0,2024,20
