Quarter,Time,Tm,Detail,CLE,JAX,week,year,game_id
1.0,2:29,Browns,Deshaun Watson 1 yard rush (Dustin Hopkins kick),7,0,2.0,2024,19
2.0,9:52,Browns,Dustin Hopkins 53 yard field goal,10,0,2.0,2024,19
,4:44,Jaguars,Cam Little 22 yard field goal,10,3,2.0,2024,19
,0:27,Browns,Dustin Hopkins 38 yard field goal,13,3,2.0,2024,19
3.0,10:20,Browns,Dustin Hopkins 44 yard field goal,16,3,2.0,2024,19
,1:11,Jaguars,Travis Etienne 4 yard rush (Cam Little kick),16,10,2.0,2024,19
4.0,7:32,Jaguars,Cam Little 25 yard field goal,16,13,2.0,2024,19
,1:44,Browns,"Safety, Trevor Lawrence sacked in end zone by Alex Wright",18,13,2.0,2024,19
