Quarter,Time,Down,ToGo,Location,NYG,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Commanders to receive the opening kickoff.",,,2.0,2024,25
1.0,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 63 yards, returned by Austin Ekeler for 35 yards, touchdown. Penalty on Nick Bellore: Offensive Holding, 10 yards (accepted)",0.0,0.74,2.0,2024,25
1.0,14:48,1.0,10.0,WAS 27,0.0,0.0,Jayden Daniels pass complete short right to Terry McLaurin for -2 yards (tackle by Andru Phillips and Bobby Okereke),0.74,-0.07,2.0,2024,25
1.0,14:10,2.0,12.0,WAS 25,0.0,0.0,Jayden Daniels pass complete short left to Brian Robinson for 3 yards (tackle by Bobby Okereke),-0.07,-0.36,2.0,2024,25
1.0,13:35,3.0,9.0,WAS 28,0.0,0.0,"Jayden Daniels pass incomplete short middle intended for Zach Ertz. Penalty on Jason Pinnock: Defensive Holding, 5 yards (accepted) (no play)",-0.36,1.14,2.0,2024,25
1.0,13:29,1.0,10.0,WAS 33,0.0,0.0,Jayden Daniels pass complete short middle to Noah Brown for 7 yards (tackle by Deonte Banks and Micah McFadden),1.14,1.54,2.0,2024,25
1.0,12:59,2.0,3.0,WAS 40,0.0,0.0,Jayden Daniels pass complete short right to Olamide Zaccheaus for 6 yards (tackle by Jason Pinnock and Andru Phillips),1.54,1.99,2.0,2024,25
1.0,12:23,1.0,10.0,WAS 46,0.0,0.0,Brian Robinson left end for 7 yards (tackle by Jason Pinnock),1.99,2.4,2.0,2024,25
1.0,11:46,2.0,3.0,NYG 47,0.0,0.0,Brian Robinson up the middle for 2 yards (tackle by Andru Phillips),2.4,1.95,2.0,2024,25
1.0,11:07,3.0,1.0,NYG 45,0.0,0.0,Jayden Daniels pass complete short right to Dyami Brown for 5 yards (tackle by Andru Phillips and Bobby Okereke),1.95,2.92,2.0,2024,25
1.0,10:32,1.0,10.0,NYG 40,0.0,0.0,Brian Robinson left end for 3 yards (tackle by Micah McFadden),2.92,2.78,2.0,2024,25
1.0,9:52,2.0,7.0,NYG 37,0.0,0.0,Jayden Daniels sacked by Bobby Okereke for -3 yards,2.78,1.68,2.0,2024,25
1.0,9:10,,,,,,Timeout #1 by Washington Commanders,,,2.0,2024,25
1.0,9:10,3.0,10.0,NYG 40,0.0,0.0,"Jayden Daniels scrambles left end for 10 yards (tackle by Elijah Chatman) NYG challenged the first down ruling, and the original play was overturned. Jayden Daniels scrambles left end for 9 yards (tackle by Elijah Chatman)",1.68,1.41,2.0,2024,25
1.0,8:49,4.0,1.0,NYG 31,0.0,0.0,Brian Robinson left guard for 6 yards (tackle by Tyler Nubin),1.41,3.91,2.0,2024,25
1.0,8:16,1.0,10.0,NYG 25,0.0,0.0,Jayden Daniels pass complete short right to Dyami Brown for 12 yards (tackle by Cordale Flott),3.91,4.71,2.0,2024,25
1.0,7:40,1.0,10.0,NYG 13,0.0,0.0,Jayden Daniels right tackle for 1 yard (tackle by Brian Burns),4.71,4.22,2.0,2024,25
