Quarter,Time,Down,ToGo,Location,LAR,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cardinals won the coin toss and deferred, Rams to receive the opening kickoff.",,,2.0,2024,28
1.0,15:00,,,ARI 35,0.0,0.0,"Matt Prater kicks off 55 yards, returned by Blake Corum for 41 yards (tackle by Max Melton)",0.0,2.32,2.0,2024,28
1.0,14:50,1.0,10.0,ARI 49,0.0,0.0,Kyren Williams right tackle for 9 yards (tackle by Starling Thomas),2.32,3.0,2.0,2024,28
1.0,14:18,2.0,1.0,ARI 40,0.0,0.0,Kyren Williams up the middle for -1 yards (tackle by Budda Baker and Bilal Nichols),3.0,2.15,2.0,2024,28
1.0,13:39,3.0,2.0,ARI 41,0.0,0.0,"Matthew Stafford pass complete short right to Demarcus Robinson for 3 yards (tackle by Sean Murphy-Bunting) ARI challenged the pass completion ruling, and the original play was overturned. Matthew Stafford pass incomplete short right intended for Demarcus Robinson",2.15,0.53,2.0,2024,28
1.0,13:37,4.0,2.0,ARI 41,0.0,0.0,Matthew Stafford pass complete short left to Cooper Kupp for 1 yard (tackle by Budda Baker),0.53,-1.6,2.0,2024,28
1.0,13:30,1.0,10.0,ARI 40,0.0,0.0,Kyler Murray pass incomplete short right intended for Marvin Harrison (defended by Tre'Davious White),1.6,1.05,2.0,2024,28
1.0,13:26,2.0,10.0,ARI 40,0.0,0.0,James Conner up the middle for 16 yards (tackle by John Johnson),1.05,2.65,2.0,2024,28
1.0,13:01,1.0,10.0,LAR 44,0.0,0.0,Kyler Murray scrambles right end for 6 yards (tackle by Troy Reeder),2.65,2.92,2.0,2024,28
1.0,12:21,2.0,4.0,LAR 38,0.0,0.0,James Conner up the middle for 13 yards (tackle by Kamren Curl and Quentin Lake),2.92,3.91,2.0,2024,28
1.0,11:45,1.0,10.0,LAR 25,0.0,0.0,Kyler Murray pass complete short left to James Conner for 2 yards (tackle by Christian Rozeboom),3.91,3.63,2.0,2024,28
1.0,11:09,2.0,8.0,LAR 23,0.0,6.0,"Kyler Murray pass complete deep left to Marvin Harrison for 23 yards, touchdown",3.63,7.0,2.0,2024,28
1.0,11:03,,,LAR 15,0.0,7.0,Matt Prater kicks extra point good,0.0,0.0,2.0,2024,28
1.0,11:03,,,ARI 35,0.0,7.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,28
1.0,11:03,1.0,10.0,LAR 30,0.0,7.0,Kyren Williams right tackle for -1 yards (tackle by Justin Jones),0.94,0.26,2.0,2024,28
1.0,10:27,2.0,11.0,LAR 29,0.0,7.0,Matthew Stafford pass complete short middle to Tyler Johnson for 7 yards (tackle by Dennis Gardeck),0.26,0.5,2.0,2024,28
1.0,9:46,3.0,4.0,LAR 36,0.0,7.0,Matthew Stafford sacked by Dennis Gardeck for -8 yards,0.5,-1.5,2.0,2024,28
1.0,9:09,4.0,12.0,LAR 28,0.0,7.0,"Ethan Evans punts 49 yards, returned by Greg Dortch for 17 yards (tackle by Jake Hummel)",-1.5,-1.6,2.0,2024,28
1.0,8:57,1.0,10.0,ARI 40,0.0,13.0,"Kyler Murray pass complete deep right to Marvin Harrison for 60 yards, touchdown",1.6,7.0,2.0,2024,28
