Unnamed: 0,LAR,ARI,week,year,game_id
First Downs,14,24,2.0,2024,28
Rush-Yds-TDs,20-53-1,40-231-1,2.0,2024,28
Cmp-Att-Yd-TD-INT,19-27-216-0-0,17-21-266-3-0,2.0,2024,28
Sacked-Yards,5-24,1-8,2.0,2024,28
Net Pass Yards,192,258,2.0,2024,28
Total Yards,245,489,2.0,2024,28
Fumbles-Lost,1-1,2-1,2.0,2024,28
Turnovers,1,1,2.0,2024,28
Penalties-Yards,2-10,5-52,2.0,2024,28
Third Down Conv.,2-11,7-11,2.0,2024,28
Fourth Down Conv.,1-3,0-0,2.0,2024,28
Time of Possession,23:06,36:54,2.0,2024,28
