Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Caleb Williams,CHI,23,37,174,7,15.9,291,7.9,43,1.9,1.2,131,5.7,2,5.9%,8,23.5%,7,15,3,3,13,27.1%,4,11.0,2.0,2024,31
C.J. Stroud,HOU,23,36,260,11,28.2,272,7.6,128,5.6,3.6,132,5.7,1,2.9%,5,14.7%,3,9,5,1,9,23.1%,0,,2.0,2024,31
