Unnamed: 0,CLE,JAX,week,year,game_id
First Downs,17,18,2.0,2024,19
Rush-Yds-TDs,29-125-1,21-127-1,2.0,2024,19
Cmp-Att-Yd-TD-INT,22-34-186-0-0,14-30-220-0-0,2.0,2024,19
Sacked-Yards,2-14,4-24,2.0,2024,19
Net Pass Yards,172,196,2.0,2024,19
Total Yards,297,323,2.0,2024,19
Fumbles-Lost,1-0,1-0,2.0,2024,19
Turnovers,0,0,2.0,2024,19
Penalties-Yards,13-100,6-52,2.0,2024,19
Third Down Conv.,2-14,3-9,2.0,2024,19
Fourth Down Conv.,3-3,0-0,2.0,2024,19
Time of Possession,34:23,25:37,2.0,2024,19
