Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Derek Carr,NOR,0,0,0,0,0,2.0,2024,21
Alvin Kamara,NOR,3,2,65,1,57,2.0,2024,21
Jamaal Williams,NOR,0,0,0,0,0,2.0,2024,21
Taysom Hill,NOR,1,1,1,0,1,2.0,2024,21
Rashid Shaheed,NOR,4,4,96,1,70,2.0,2024,21
Chris Olave,NOR,6,4,81,0,39,2.0,2024,21
Adam Prentice,NOR,1,0,0,0,0,2.0,2024,21
Jake Haener,NOR,0,0,0,0,0,2.0,2024,21
Dak Prescott,DAL,0,0,0,0,0,2.0,2024,21
Cooper Rush,DAL,0,0,0,0,0,2.0,2024,21
Rico Dowdle,DAL,5,4,29,0,9,2.0,2024,21
Ezekiel Elliott,DAL,3,2,16,0,15,2.0,2024,21
Deuce Vaughn,DAL,1,1,6,0,6,2.0,2024,21
KaVontae Turpin,DAL,4,2,4,0,5,2.0,2024,21
CeeDee Lamb,DAL,7,4,90,1,65,2.0,2024,21
Jalen Tolbert,DAL,9,6,82,0,39,2.0,2024,21
Luke Schoonmaker,DAL,6,6,43,0,15,2.0,2024,21
Jalen Brooks,DAL,3,1,10,0,10,2.0,2024,21
Brevyn Spann-Ford,DAL,1,0,0,0,0,2.0,2024,21
Brandin Cooks,DAL,2,2,19,0,11,2.0,2024,21
