Quarter,Time,Down,ToGo,Location,BUF,MIA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,2.0,2024,17
1.0,15:00,,,BUF 35,0.0,0.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,17
1.0,15:00,1.0,10.0,MIA 30,0.0,0.0,Tua Tagovailoa pass complete short left to Jaylen Waddle for 3 yards (tackle by Rasul Douglas),0.94,0.8,2.0,2024,17
1.0,14:26,2.0,7.0,MIA 33,0.0,0.0,De'Von Achane right guard for 6 yards (tackle by Terrel Bernard and Rasul Douglas),0.8,0.89,2.0,2024,17
1.0,13:49,3.0,1.0,MIA 39,0.0,0.0,Alec Ingold right guard for 3 yards (tackle by Ed Oliver),0.89,1.73,2.0,2024,17
1.0,13:12,1.0,10.0,MIA 42,0.0,0.0,De'Von Achane right end for -3 yards (tackle by Rasul Douglas),1.73,0.78,2.0,2024,17
1.0,12:32,2.0,13.0,MIA 39,0.0,0.0,Tua Tagovailoa pass incomplete deep left intended for Tyreek Hill,0.78,0.1,2.0,2024,17
1.0,12:26,3.0,13.0,MIA 39,0.0,0.0,Tua Tagovailoa pass deep left intended for Grant Dubose is intercepted by Ja'Marcus Ingram at BUF-38 and returned for 25 yards (tackle by Braxton Berrios and Jonnu Smith),0.1,-3.12,2.0,2024,17
1.0,12:16,1.0,10.0,MIA 37,0.0,0.0,Josh Allen pass complete short left to Dalton Kincaid for 9 yards (tackle by Jevon Holland and Jordyn Brooks),3.12,3.79,2.0,2024,17
1.0,11:46,2.0,1.0,MIA 28,0.0,0.0,James Cook up the middle for 4 yards (tackle by Kendall Fuller),3.79,3.97,2.0,2024,17
1.0,11:17,1.0,10.0,MIA 24,0.0,0.0,Josh Allen pass complete short right to Dalton Kincaid for 8 yards (tackle by Jordan Poyer),3.97,4.65,2.0,2024,17
1.0,10:43,2.0,2.0,MIA 16,0.0,0.0,Josh Allen pass incomplete deep right,4.65,3.95,2.0,2024,17
1.0,10:37,3.0,2.0,MIA 16,0.0,0.0,Ty Johnson up the middle for -1 yards (tackle by David Long and Zach Sieler),3.95,2.41,2.0,2024,17
1.0,9:55,,,,,,Timeout #1 by Buffalo Bills,,,2.0,2024,17
1.0,9:55,4.0,3.0,MIA 17,6.0,0.0,"Josh Allen pass complete short left to James Cook for 17 yards, touchdown",2.41,7.0,2.0,2024,17
1.0,9:49,,,MIA 15,7.0,0.0,Tyler Bass kicks extra point good,0.0,0.0,2.0,2024,17
1.0,9:49,,,BUF 35,7.0,0.0,"Tyler Bass kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,17
1.0,9:49,1.0,10.0,MIA 30,7.0,0.0,Tua Tagovailoa pass complete short left to Jonnu Smith for 15 yards (tackle by Damar Hamlin),0.94,1.93,2.0,2024,17
1.0,9:09,1.0,10.0,MIA 45,7.0,0.0,Jaylen Waddle right end for 4 yards (tackle by Taylor Rapp),1.93,1.92,2.0,2024,17
1.0,8:34,2.0,6.0,MIA 49,7.0,0.0,Tua Tagovailoa pass complete short middle to Tyreek Hill for 10 yards (tackle by Christian Benford),1.92,2.85,2.0,2024,17
1.0,7:56,1.0,10.0,BUF 41,7.0,0.0,"Penalty on Julian Hill: False Start, 5 yards (accepted) (no play)",2.85,2.52,2.0,2024,17
