Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Baker Mayfield,TAM,12,19,185,9,37.5,152,8.0,95,7.9,5.0,90,7.5,1,5.3%,3,15.8%,5,11,3,0,8,28.6%,4,8.8,2.0,2024,22
Jared Goff,DET,34,55,307,15,27.3,368,6.7,168,4.9,3.1,139,4.1,0,0.0%,11,21.2%,0,12,3,10,13,22.8%,2,2.5,2.0,2024,22
Jack Fox,DET,1,1,17,1,100.0,15,15.0,15,15.0,15.0,2,2.0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,,2.0,2024,22
