Quarter,Time,Down,ToGo,Location,SEA,NWE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Patriots to receive the opening kickoff.",,,2.0,2024,24
1,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,24
1,15:00,1.0,10.0,NWE 30,0.0,0.0,Rhamondre Stevenson up the middle for 1 yard (tackle by Jerome Baker and Tyrel Dodson),0.94,0.53,2.0,2024,24
1,14:22,2.0,9.0,NWE 31,0.0,0.0,Jacoby Brissett pass complete short right to Rhamondre Stevenson for 7 yards (tackle by Jerome Baker),0.53,0.76,2.0,2024,24
1,13:49,3.0,2.0,NWE 38,0.0,0.0,Jacoby Brissett sacked by Boye Mafe for -9 yards,0.76,-1.44,2.0,2024,24
1,13:12,4.0,11.0,NWE 29,0.0,0.0,Bryce Baringer punts 56 yards out of bounds,-1.44,0.22,2.0,2024,24
1,13:03,1.0,10.0,SEA 15,0.0,0.0,Zach Charbonnet left guard for 1 yard (tackle by Anfernee Jennings),-0.22,-0.58,2.0,2024,24
1,12:41,2.0,9.0,SEA 16,0.0,0.0,Geno Smith pass complete short left to Jaxon Smith-Njigba for 8 yards (tackle by Jonathan Jones),-0.58,-0.27,2.0,2024,24
1,12:32,3.0,1.0,SEA 24,0.0,0.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 3 yards (tackle by Jabrill Peppers),-0.27,0.74,2.0,2024,24
1,11:34,1.0,10.0,SEA 27,0.0,0.0,Geno Smith pass complete short left to Tyler Lockett for -1 yards (tackle by Kyle Dugger),0.74,0.06,2.0,2024,24
1,10:49,2.0,11.0,SEA 26,0.0,0.0,Geno Smith sacked by and Keion White for -4 yards and Daniel Ekuale for -4 yards,0.06,-1.15,2.0,2024,24
1,10:07,3.0,15.0,SEA 22,0.0,0.0,Geno Smith pass incomplete deep middle intended for Jaxon Smith-Njigba (defended by Jaylinn Hawkins),-1.15,-1.9,2.0,2024,24
1,10:02,4.0,15.0,SEA 22,0.0,0.0,"Michael Dickson punts 53 yards, returned by Marcus Jones for 15 yards (tackle by K'Von Wallace and Jake Bobo)",-1.9,-1.6,2.0,2024,24
1,9:49,1.0,10.0,NWE 40,0.0,0.0,Rhamondre Stevenson up the middle for 9 yards (tackle by Boye Mafe and Rayshawn Jenkins),1.6,2.27,2.0,2024,24
1,9:11,2.0,1.0,NWE 49,0.0,0.0,Jacoby Brissett pass complete short middle to Hunter Henry for 8 yards (tackle by Jerome Baker),2.27,2.72,2.0,2024,24
1,8:30,1.0,10.0,SEA 43,0.0,0.0,Jacoby Brissett pass complete short right to Hunter Henry for 12 yards (tackle by K'Von Wallace),2.72,3.51,2.0,2024,24
