Unnamed: 0,SFO,MIN,week,year,game_id
First Downs,24,17,2.0,2024,23
Rush-Yds-TDs,25-102-1,24-146-0,2.0,2024,23
Cmp-Att-Yd-TD-INT,28-36-319-1-1,17-26-268-2-1,2.0,2024,23
Sacked-Yards,6-25,4-11,2.0,2024,23
Net Pass Yards,294,257,2.0,2024,23
Total Yards,396,403,2.0,2024,23
Fumbles-Lost,3-1,3-1,2.0,2024,23
Turnovers,2,2,2.0,2024,23
Penalties-Yards,4-30,7-53,2.0,2024,23
Third Down Conv.,2-10,7-12,2.0,2024,23
Fourth Down Conv.,1-3,0-0,2.0,2024,23
Time of Possession,34:48,25:12,2.0,2024,23
