Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Drake Maye,NWE,15,25,184,9,34.6,208,8.3,85,5.7,3.4,99,6.6,1,4.3%,4,17.4%,1,6,2,6,9,31.0%,3,8.3,10.0,2024,141
Caleb Williams,CHI,16,30,120,6,15.4,187,6.2,72,4.5,2.4,48,3.0,1,3.8%,4,15.4%,9,9,1,4,14,34.1%,2,7.5,10.0,2024,141
