Unnamed: 0,ATL,NOR,week,year,game_id
First Downs,25,14,10.0,2024,144
Rush-Yds-TDs,32-181-2,27-96-0,10.0,2024,144
Cmp-Att-Yd-TD-INT,23-38-306-0-1,16-25-269-2-0,10.0,2024,144
Sacked-Yards,3-19,0-0,10.0,2024,144
Net Pass Yards,287,269,10.0,2024,144
Total Yards,468,365,10.0,2024,144
Fumbles-Lost,2-0,1-0,10.0,2024,144
Turnovers,1,0,10.0,2024,144
Penalties-Yards,6-45,8-76,10.0,2024,144
Third Down Conv.,5-14,5-13,10.0,2024,144
Fourth Down Conv.,1-2,0-1,10.0,2024,144
Time of Possession,35:07,24:53,10.0,2024,144
