Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Jalen Hurts,PHI,1,1,10.0,2024,149
Kenny Pickett,PHI,0,0,10.0,2024,149
Saquon Barkley,PHI,0,0,10.0,2024,149
Will Shipley,PHI,0,0,10.0,2024,149
Kenneth Gainwell,PHI,0,0,10.0,2024,149
A.J. Brown,PHI,0,0,10.0,2024,149
Jahan Dotson,PHI,0,0,10.0,2024,149
Dallas Goedert,PHI,0,0,10.0,2024,149
DeVonta Smith,PHI,0,0,10.0,2024,149
Ainias Smith,PHI,0,0,10.0,2024,149
Johnny Wilson,PHI,0,0,10.0,2024,149
Grant Calcaterra,PHI,0,0,10.0,2024,149
Cooper Rush,DAL,2,2,10.0,2024,149
Trey Lance,DAL,0,0,10.0,2024,149
Rico Dowdle,DAL,0,0,10.0,2024,149
Ezekiel Elliott,DAL,1,1,10.0,2024,149
CeeDee Lamb,DAL,0,0,10.0,2024,149
Jake Ferguson,DAL,1,1,10.0,2024,149
Jalen Tolbert,DAL,0,0,10.0,2024,149
Jalen Brooks,DAL,0,0,10.0,2024,149
Luke Schoonmaker,DAL,0,0,10.0,2024,149
Hunter Luepke,DAL,0,0,10.0,2024,149
