Quarter,Time,Down,ToGo,Location,MIA,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Dolphins to receive the opening kickoff.",,,10.0,2024,152
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,152
1.0,15:00,1.0,10.0,MIA 30,0.0,0.0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 19 yards (tackle by Omar Speights),0.94,2.19,10.0,2024,152
1.0,14:32,1.0,10.0,MIA 49,0.0,0.0,Tua Tagovailoa pass complete short left to De'Von Achane for -5 yards (tackle by Byron Young),2.19,0.97,10.0,2024,152
1.0,13:47,2.0,15.0,MIA 44,0.0,0.0,Tua Tagovailoa pass complete short right to De'Von Achane for 2 yards (tackle by Kobie Turner),0.97,0.56,10.0,2024,152
1.0,12:58,3.0,13.0,MIA 46,0.0,0.0,Tua Tagovailoa pass complete deep left to Jaylen Waddle for 36 yards (tackle by Cobie Durant),0.56,4.37,10.0,2024,152
1.0,12:08,1.0,10.0,LAR 18,6.0,0.0,"Malik Washington right end for 18 yards, touchdown",4.37,7.0,10.0,2024,152
1.0,12:01,,,LAR 15,7.0,0.0,Jason Sanders kicks extra point good,0.0,0.0,10.0,2024,152
1.0,12:01,,,MIA 35,7.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,152
1.0,12:01,1.0,10.0,LAR 30,7.0,0.0,Matthew Stafford pass complete short left to Kyren Williams for -10 yards (tackle by Zach Sieler),0.94,-0.96,10.0,2024,152
1.0,11:23,2.0,20.0,LAR 20,7.0,0.0,Kyren Williams left guard for 7 yards (tackle by Jordyn Brooks and Anthony Walker),-0.96,-0.69,10.0,2024,152
1.0,10:58,3.0,13.0,LAR 27,7.0,0.0,Matthew Stafford pass complete short middle to Davis Allen for 10 yards (tackle by Jordan Poyer),-0.69,-0.91,10.0,2024,152
1.0,10:04,4.0,3.0,LAR 37,7.0,0.0,"Ethan Evans punts 47 yards, returned by Malik Washington for 2 yards",-0.91,-0.04,10.0,2024,152
1.0,9:56,1.0,10.0,MIA 18,7.0,0.0,Tua Tagovailoa pass incomplete short left intended for Jaylen Waddle,0.04,-0.49,10.0,2024,152
1.0,9:53,2.0,10.0,MIA 18,7.0,0.0,Tua Tagovailoa pass incomplete short right intended for Jonnu Smith,-0.49,-1.17,10.0,2024,152
1.0,9:50,3.0,10.0,MIA 18,7.0,0.0,Tua Tagovailoa pass incomplete deep middle intended for Tyreek Hill,-1.17,-2.24,10.0,2024,152
1.0,9:45,4.0,10.0,MIA 18,7.0,0.0,"Jake Bailey punts 48 yards out of bounds. Penalty on Siran Neal: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",-2.24,-2.19,10.0,2024,152
1.0,9:38,1.0,10.0,LAR 49,7.0,0.0,Kyren Williams right guard for 1 yard (tackle by Jordyn Brooks and Calais Campbell),2.19,1.78,10.0,2024,152
1.0,8:59,2.0,9.0,LAR 50,7.0,0.0,Matthew Stafford pass incomplete short right intended for Puka Nacua (defended by Jordyn Brooks) (defended by Calais Campbell),1.78,1.09,10.0,2024,152
1.0,8:53,3.0,9.0,LAR 50,7.0,0.0,Matthew Stafford sacked by Chop Robinson for -10 yards,1.09,-0.72,10.0,2024,152
1.0,8:14,4.0,19.0,LAR 40,7.0,0.0,"Ethan Evans punts 51 yards, returned by Malik Washington for 7 yards (tackle by Jake Hummel)",-0.72,0.14,10.0,2024,152
1.0,8:08,1.0,10.0,MIA 16,7.0,0.0,De'Von Achane left tackle for 4 yards (tackle by Christian Rozeboom),-0.14,0.01,10.0,2024,152
1.0,7:25,2.0,6.0,MIA 20,7.0,0.0,De'Von Achane right end for no gain (tackle by Kobie Turner and Michael Hoecht),0.01,-0.82,10.0,2024,152
1.0,6:38,3.0,6.0,MIA 20,7.0,0.0,Tua Tagovailoa pass complete short left to Raheem Mostert for 9 yards (tackle by Quentin Lake),-0.82,0.87,10.0,2024,152
1.0,5:55,1.0,10.0,MIA 29,7.0,0.0,Jaylen Wright left end for -3 yards (tackle by Cobie Durant),0.87,-0.08,10.0,2024,152
1.0,5:12,2.0,13.0,MIA 26,7.0,0.0,Tua Tagovailoa pass complete short middle to Odell Beckham for 6 yards (tackle by Omar Speights),-0.08,0.04,10.0,2024,152
1.0,4:27,3.0,7.0,MIA 32,7.0,0.0,Tua Tagovailoa pass incomplete short middle intended for Raheem Mostert (defended by Kobie Turner),0.04,-1.24,10.0,2024,152
1.0,4:20,4.0,7.0,MIA 32,7.0,0.0,Jake Bailey punts 35 yards out of bounds,-1.24,-1.14,10.0,2024,152
1.0,4:12,1.0,10.0,LAR 33,7.0,0.0,Matthew Stafford pass complete short right to Tutu Atwell for 6 yards,1.14,1.4,10.0,2024,152
1.0,3:34,2.0,4.0,LAR 39,7.0,0.0,Matthew Stafford pass complete short right to Blake Corum for 7 yards (tackle by Jevon Holland),1.4,1.99,10.0,2024,152
1.0,2:53,1.0,10.0,LAR 46,7.0,0.0,Blake Corum up the middle for 5 yards (tackle by Jordyn Brooks and Neil Farrell),1.99,2.13,10.0,2024,152
1.0,2:13,2.0,5.0,MIA 49,7.0,0.0,"Blake Corum up the middle for no gain (tackle by Jordan Poyer and Anthony Walker). Penalty on Alaric Jackson: Illegal Formation, 5 yards (accepted) (no play)",2.13,1.45,10.0,2024,152
