Quarter,Time,Down,ToGo,Location,PIT,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,,10.0,2024,142
1.0,15:00,,,WAS 35,0.0,0.0,"Zane Gonzalez kicks off 61 yards, returned by Jaylen Warren for 21 yards (tackle by Jeremy Reaves and Michael Davis)",0.0,0.61,10.0,2024,142
1.0,14:56,1.0,10.0,PIT 25,0.0,0.0,Najee Harris left tackle for 2 yards (tackle by Clelin Ferrell),0.61,0.33,10.0,2024,142
1.0,14:19,2.0,8.0,PIT 27,0.0,0.0,Russell Wilson pass complete short right to Darnell Washington for 6 yards (tackle by Noah Igbinoghene and Mike Sainristil),0.33,0.43,10.0,2024,142
1.0,13:36,3.0,2.0,PIT 33,0.0,0.0,Cordarrelle Patterson right end for 1 yard (tackle by Daron Payne),0.43,-1.11,10.0,2024,142
1.0,12:55,4.0,1.0,PIT 34,0.0,0.0,"Corliss Waitman punts 51 yards, recovered by Olamide Zaccheaus at WAS-15",-1.11,0.22,10.0,2024,142
1.0,12:42,1.0,10.0,WAS 15,0.0,0.0,Austin Ekeler up the middle for 3 yards (tackle by Elandon Roberts),-0.22,-0.28,10.0,2024,142
1.0,12:10,2.0,7.0,WAS 18,0.0,0.0,Jayden Daniels pass complete short right to Zach Ertz for 5 yards (tackle by Minkah Fitzpatrick and Patrick Queen),-0.28,-0.39,10.0,2024,142
1.0,11:35,3.0,2.0,WAS 23,0.0,0.0,Jayden Daniels pass incomplete short left intended for Olamide Zaccheaus,-0.39,-1.83,10.0,2024,142
1.0,11:32,4.0,2.0,WAS 23,0.0,0.0,"Tress Way punts 47 yards, fair catch by Calvin Austin at PIT-30",-1.83,-0.94,10.0,2024,142
1.0,11:25,1.0,10.0,PIT 30,0.0,0.0,"Russell Wilson pass incomplete short middle intended for Pat Freiermuth. Penalty on Benjamin St-Juste: Defensive Pass Interference, 14 yards (accepted) (no play)",0.94,1.86,10.0,2024,142
1.0,11:21,1.0,10.0,PIT 44,0.0,0.0,Najee Harris left guard for 7 yards (tackle by Mike Sainristil and Frankie Luvu),1.86,2.26,10.0,2024,142
1.0,10:54,2.0,3.0,WAS 49,0.0,0.0,Najee Harris up the middle for 6 yards (tackle by Jeremy Chinn),2.26,2.72,10.0,2024,142
1.0,10:20,1.0,10.0,WAS 43,0.0,0.0,Russell Wilson pass incomplete deep right,2.72,2.18,10.0,2024,142
1.0,10:12,2.0,10.0,WAS 43,0.0,0.0,Jaylen Warren left end for 12 yards (tackle by Jalyn Holmes and Quan Martin),2.18,3.51,10.0,2024,142
1.0,9:30,1.0,10.0,WAS 31,0.0,0.0,Russell Wilson pass incomplete short left intended for George Pickens,3.51,2.97,10.0,2024,142
1.0,9:25,2.0,10.0,WAS 31,0.0,0.0,"Russell Wilson pass incomplete short left intended for Van Jefferson. Penalty on Jeremy Chinn: Roughing the Passer, 15 yards (accepted) (no play)",2.97,4.51,10.0,2024,142
1.0,9:22,1.0,10.0,WAS 16,0.0,0.0,Najee Harris left tackle for no gain (tackle by Jalyn Holmes),4.51,3.9,10.0,2024,142
1.0,8:38,2.0,10.0,WAS 16,6.0,0.0,"Russell Wilson pass complete deep right to George Pickens for 16 yards, touchdown",3.9,7.0,10.0,2024,142
1.0,8:33,,,WAS 15,7.0,0.0,Chris Boswell kicks extra point good,0.0,0.0,10.0,2024,142
