Unnamed: 0,TEN,LAC,week,year,game_id
First Downs,19,23,10.0,2024,148
Rush-Yds-TDs,21-132-0,39-145-2,10.0,2024,148
Cmp-Att-Yd-TD-INT,18-23-175-2-0,14-18-164-1-0,10.0,2024,148
Sacked-Yards,7-18,0-0,10.0,2024,148
Net Pass Yards,157,164,10.0,2024,148
Total Yards,289,309,10.0,2024,148
Fumbles-Lost,1-0,0-0,10.0,2024,148
Turnovers,0,0,10.0,2024,148
Penalties-Yards,9-68,5-30,10.0,2024,148
Third Down Conv.,3-9,4-10,10.0,2024,148
Fourth Down Conv.,0-0,1-1,10.0,2024,148
Time of Possession,29:01,30:59,10.0,2024,148
