Quarter,Time,Down,ToGo,Location,SFO,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss and deferred, 49ers to receive the opening kickoff.",,,10.0,2024,143
1.0,15:00,,,TAM 35,0.0,0.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,143
1.0,15:00,1.0,10.0,SFO 30,0.0,0.0,Christian McCaffrey left end for 6 yards (tackle by Christian Izien and Josh Hayes),0.94,1.2,10.0,2024,143
1.0,14:24,2.0,4.0,SFO 36,0.0,0.0,Brock Purdy scrambles up the middle for 10 yards (tackle by K.J. Britt),1.2,1.99,10.0,2024,143
1.0,13:45,1.0,10.0,SFO 46,0.0,0.0,Deebo Samuel left end for 12 yards (tackle by Jordan Whitehead and Vita Vea),1.99,2.79,10.0,2024,143
1.0,13:05,1.0,10.0,TAM 42,0.0,0.0,Brock Purdy scrambles left end for 3 yards (tackle by Calijah Kancey),2.79,2.65,10.0,2024,143
1.0,12:21,2.0,7.0,TAM 39,0.0,0.0,Brock Purdy pass incomplete short middle intended for Jauan Jennings,2.65,1.95,10.0,2024,143
1.0,12:15,3.0,7.0,TAM 39,0.0,0.0,Brock Purdy pass incomplete short left intended for Ricky Pearsall,1.95,0.66,10.0,2024,143
1.0,12:11,4.0,7.0,TAM 39,0.0,0.0,Mitch Wishnowsky punts 35 yards downed by Ronnie Bell,0.66,0.38,10.0,2024,143
1.0,12:03,1.0,10.0,TAM 4,0.0,0.0,Rachaad White up the middle for 4 yards (tackle by Ji'Ayir Brown and Deommodore Lenoir),-0.38,-0.49,10.0,2024,143
1.0,11:24,2.0,6.0,TAM 8,0.0,0.0,Bucky Irving right guard for 2 yards (tackle by Fred Warner),-0.49,-0.72,10.0,2024,143
1.0,10:41,3.0,4.0,TAM 10,0.0,0.0,Baker Mayfield pass complete short middle to Cade Otton for 15 yards (tackle by Isaac Yiadom),-0.72,0.61,10.0,2024,143
1.0,10:05,1.0,10.0,TAM 25,0.0,0.0,Baker Mayfield pass complete short right to Rakim Jarrett for 4 yards (tackle by Renardo Green),0.61,0.6,10.0,2024,143
1.0,9:32,2.0,6.0,TAM 29,0.0,0.0,Rachaad White right guard for 1 yard (tackle by De'Vondre Campbell),0.6,0.04,10.0,2024,143
1.0,8:51,3.0,5.0,TAM 30,0.0,0.0,Baker Mayfield pass complete short left to Rachaad White for 1 yard (tackle by Fred Warner),0.04,-1.31,10.0,2024,143
1.0,8:15,4.0,4.0,TAM 31,0.0,0.0,"Trenton Gill punts 46 yards, returned by Jacob Cowing for 6 yards (tackle by Ryan Miller)",-1.31,-0.87,10.0,2024,143
1.0,8:06,1.0,10.0,SFO 29,0.0,0.0,Brock Purdy sacked by Greg Gaines for -5 yards,0.87,-0.35,10.0,2024,143
1.0,7:21,2.0,15.0,SFO 24,0.0,0.0,Brock Purdy pass complete short middle to Christian McCaffrey for 8 yards (tackle by Antoine Winfield and J.J. Russell),-0.35,0.04,10.0,2024,143
1.0,6:36,3.0,7.0,SFO 32,0.0,0.0,"Brock Purdy pass incomplete short middle intended for Ricky Pearsall (defended by Zyon McCollum). Penalty on Josh Hayes: Defensive Holding, 5 yards (accepted) (no play)",0.04,1.4,10.0,2024,143
1.0,6:31,1.0,10.0,SFO 37,0.0,0.0,Christian McCaffrey left tackle for 5 yards (tackle by Jordan Whitehead),1.4,1.53,10.0,2024,143
1.0,5:53,2.0,5.0,SFO 42,0.0,0.0,Brock Purdy pass complete short right to Christian McCaffrey for 7 yards (tackle by Jordan Whitehead and Lavonte David),1.53,2.19,10.0,2024,143
1.0,5:04,1.0,10.0,SFO 49,0.0,0.0,Jordan Mason left end for 5 yards (tackle by J.J. Russell),2.19,2.32,10.0,2024,143
1.0,4:25,2.0,5.0,TAM 46,6.0,0.0,"Brock Purdy pass complete deep middle to Ricky Pearsall for 46 yards, touchdown Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",2.32,7.0,10.0,2024,143
1.0,4:15,,,TAM 15,7.0,0.0,Jake Moody kicks extra point good,0.0,0.0,10.0,2024,143
1.0,4:15,,,SFO 35,7.0,0.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,143
1.0,4:15,1.0,10.0,TAM 30,7.0,0.0,Baker Mayfield pass complete short middle to Bucky Irving for 12 yards (tackle by Fred Warner and Malik Mustapha),0.94,1.73,10.0,2024,143
1.0,3:37,1.0,10.0,TAM 42,7.0,0.0,Baker Mayfield pass incomplete short middle intended for Ryan Miller (defended by De'Vondre Campbell),1.73,1.19,10.0,2024,143
1.0,3:30,2.0,10.0,TAM 42,7.0,0.0,Bucky Irving left end for 5 yards (tackle by De'Vondre Campbell),1.19,1.16,10.0,2024,143
1.0,2:52,3.0,5.0,TAM 47,7.0,0.0,Baker Mayfield sacked by Maliek Collins for -1 yards,1.16,-0.32,10.0,2024,143
1.0,2:13,4.0,6.0,TAM 46,7.0,0.0,"Trenton Gill punts 41 yards, fair catch by Jacob Cowing at SF-13",-0.32,0.32,10.0,2024,143
1.0,2:07,1.0,10.0,SFO 13,7.0,0.0,"Penalty on Eric Saubert: False Start, 5 yards (accepted) (no play)",-0.32,-0.57,10.0,2024,143
1.0,2:07,1.0,15.0,SFO 8,7.0,0.0,Christian McCaffrey up the middle for 7 yards (tackle by Antoine Winfield and K.J. Britt),-0.57,-0.57,10.0,2024,143
1.0,1:31,2.0,8.0,SFO 15,7.0,0.0,Christian McCaffrey left end for 2 yards (tackle by Josh Hayes),-0.57,-0.94,10.0,2024,143
1.0,0:45,3.0,6.0,SFO 17,7.0,0.0,Brock Purdy pass complete short middle to George Kittle for 13 yards (tackle by Joe Tryon-Shoyinka),-0.94,0.94,10.0,2024,143
2.0,15:00,1.0,10.0,SFO 30,7.0,0.0,Brock Purdy pass complete short middle to Christian McCaffrey for 8 yards (tackle by Lavonte David),0.94,1.47,10.0,2024,143
2.0,14:18,2.0,2.0,SFO 38,7.0,0.0,"Brock Purdy pass incomplete deep right intended for Jauan Jennings. Penalty on Zyon McCollum: Defensive Pass Interference, 15 yards (accepted) (no play)",1.47,2.46,10.0,2024,143
2.0,14:14,1.0,10.0,TAM 47,7.0,0.0,Deebo Samuel left end for 2 yards (tackle by Lavonte David),2.46,2.18,10.0,2024,143
2.0,13:30,2.0,8.0,TAM 45,7.0,0.0,Christian McCaffrey left end for -1 yards (tackle by Calijah Kancey and Lavonte David),2.18,1.35,10.0,2024,143
2.0,12:43,3.0,9.0,TAM 46,7.0,0.0,Brock Purdy pass complete short right to Jauan Jennings for 11 yards (tackle by Zyon McCollum),1.35,3.25,10.0,2024,143
2.0,12:00,1.0,10.0,TAM 35,7.0,0.0,Christian McCaffrey right guard for 1 yard (tackle by Lavonte David and K.J. Britt),3.25,2.84,10.0,2024,143
