Unnamed: 0,NWE,CHI,week,year,game_id
First Downs,16,11,10.0,2024,141
Rush-Yds-TDs,35-144-0,20-73-0,10.0,2024,141
Cmp-Att-Yd-TD-INT,15-25-184-1-1,16-30-120-0-0,10.0,2024,141
Sacked-Yards,1-0,9-51,10.0,2024,141
Net Pass Yards,184,69,10.0,2024,141
Total Yards,328,142,10.0,2024,141
Fumbles-Lost,2-0,0-0,10.0,2024,141
Turnovers,1,0,10.0,2024,141
Penalties-Yards,7-40,5-25,10.0,2024,141
Third Down Conv.,5-14,1-14,10.0,2024,141
Fourth Down Conv.,1-1,2-4,10.0,2024,141
Time of Possession,32:28,27:32,10.0,2024,141
