Quarter,Time,Tm,Detail,ATL,NOR,week,year,game_id
2.0,14:50,Saints,Blake Grupe 38 yard field goal,0,3,10.0,2024,144
,10:48,Saints,Marquez Valdes-Scantling 40 yard pass from Derek Carr (Blake Grupe kick),0,10,10.0,2024,144
,5:45,Falcons,Bijan Robinson 1 yard rush (Younghoe Koo kick),7,10,10.0,2024,144
,3:47,Saints,Marquez Valdes-Scantling 2 yard pass from Derek Carr (Blake Grupe kick),7,17,10.0,2024,144
3.0,5:42,Falcons,Younghoe Koo 27 yard field goal,10,17,10.0,2024,144
,2:44,Saints,Blake Grupe 26 yard field goal,10,20,10.0,2024,144
,1:01,Falcons,Bijan Robinson 37 yard rush (Younghoe Koo kick),17,20,10.0,2024,144
