Quarter,Time,Down,ToGo,Location,DEN,KAN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Broncos to receive the opening kickoff.",,,10.0,2024,146
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,146
1.0,15:00,1.0,10.0,DEN 30,0.0,0.0,Jaleel McLaughlin right end for 4 yards (tackle by Michael Danna),0.94,0.93,10.0,2024,146
1.0,14:27,2.0,6.0,DEN 34,0.0,0.0,Bo Nix pass incomplete short right intended for Courtland Sutton,0.93,0.23,10.0,2024,146
1.0,14:24,3.0,6.0,DEN 34,0.0,0.0,Bo Nix pass complete short left to Marvin Mims for -3 yards (tackle by Justin Reid),0.23,-1.31,10.0,2024,146
1.0,13:48,4.0,9.0,DEN 31,0.0,0.0,"Riley Dixon punts 57 yards, returned by Mecole Hardman for 9 yards (tackle by Jonah Elliss)",-1.31,-0.34,10.0,2024,146
1.0,13:37,1.0,10.0,KAN 21,0.0,0.0,Kareem Hunt right guard for 3 yards (tackle by Jonathon Cooper and Cody Barton),0.34,0.21,10.0,2024,146
1.0,13:03,2.0,7.0,KAN 24,0.0,0.0,Kareem Hunt right guard for 2 yards (tackle by D.J. Jones),0.21,-0.23,10.0,2024,146
1.0,12:28,3.0,5.0,KAN 26,0.0,0.0,"Penalty on Xavier Worthy: False Start, 5 yards (accepted) (no play)",-0.23,-0.89,10.0,2024,146
1.0,12:06,3.0,10.0,KAN 21,0.0,0.0,Patrick Mahomes scrambles left end for 12 yards (tackle by Nik Bonitto),-0.89,1.14,10.0,2024,146
1.0,11:25,1.0,10.0,KAN 33,0.0,0.0,Patrick Mahomes pass incomplete short left intended for Travis Kelce,1.14,0.59,10.0,2024,146
1.0,11:21,2.0,10.0,KAN 33,0.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 6 yards (tackle by Brandon Jones and Justin Strnad),0.59,0.7,10.0,2024,146
1.0,10:40,3.0,4.0,KAN 39,0.0,0.0,Patrick Mahomes pass complete short right to Travis Kelce for 10 yards (tackle by Brandon Jones),0.7,2.19,10.0,2024,146
1.0,10:03,1.0,10.0,KAN 49,0.0,0.0,Patrick Mahomes pass incomplete short right intended for Xavier Worthy,2.19,1.65,10.0,2024,146
1.0,9:58,2.0,10.0,KAN 49,0.0,0.0,Kareem Hunt right guard for 2 yards (tackle by D.J. Jones),1.65,1.22,10.0,2024,146
1.0,9:19,3.0,8.0,DEN 49,0.0,0.0,Patrick Mahomes sacked by Zach Allen for -6 yards,1.22,-0.39,10.0,2024,146
1.0,8:43,4.0,14.0,KAN 45,0.0,0.0,"Matt Araiza punts 55 yards, touchback.",-0.39,-0.28,10.0,2024,146
1.0,8:34,1.0,10.0,DEN 20,0.0,0.0,Marvin Mims right end for 4 yards (tackle by Nazeeh Johnson),0.28,0.27,10.0,2024,146
1.0,7:59,2.0,6.0,DEN 24,0.0,0.0,Bo Nix pass complete short right to Lucas Krull for 11 yards (tackle by Nazeeh Johnson),0.27,1.27,10.0,2024,146
1.0,7:31,1.0,10.0,DEN 35,0.0,0.0,Bo Nix sacked by Nazeeh Johnson for -17 yards,1.27,-1.68,10.0,2024,146
1.0,6:45,2.0,27.0,DEN 18,0.0,0.0,Bo Nix pass incomplete deep left intended for Troy Franklin,-1.68,-2.51,10.0,2024,146
1.0,6:39,3.0,27.0,DEN 18,0.0,0.0,Bo Nix pass complete short right to Javonte Williams for 5 yards (tackle by Justin Reid and Chris Jones),-2.51,-1.83,10.0,2024,146
1.0,6:09,4.0,22.0,DEN 23,0.0,0.0,"Riley Dixon punts 56 yards, returned by Mecole Hardman for 19 yards (tackle by Riley Dixon)",-1.83,-1.6,10.0,2024,146
1.0,5:55,1.0,10.0,KAN 40,0.0,0.0,Kareem Hunt right end for 1 yard (tackle by Riley Moss and Justin Strnad),1.6,1.19,10.0,2024,146
1.0,5:21,2.0,9.0,KAN 41,0.0,0.0,Patrick Mahomes pass complete short right to DeAndre Hopkins for 4 yards (tackle by Patrick Surtain),1.19,1.03,10.0,2024,146
1.0,4:43,3.0,5.0,KAN 45,0.0,0.0,Patrick Mahomes pass complete short right to Samaje Perine for 2 yards (tackle by Patrick Surtain),1.03,-0.26,10.0,2024,146
1.0,4:08,4.0,3.0,KAN 47,0.0,0.0,"Matt Araiza punts 53 yards, touchback.",-0.26,-0.28,10.0,2024,146
