Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Calvin Ridley,TEN,9,5,84,2,4.0,71,14.2,13,2.6,16.6,0,,0,0.0,0,126.9,10.0,2024,148
Tony Pollard,TEN,4,4,19,0,1.0,-13,-3.3,32,8.0,-3.3,0,,0,0.0,0,86.5,10.0,2024,148
Tyjae Spears,TEN,3,3,4,0,1.0,-3,-1.0,7,2.3,-1.0,0,,0,0.0,0,79.2,10.0,2024,148
Nick Westbrook-Ikhine,TEN,3,3,31,0,2.0,28,9.3,3,1.0,9.3,0,,0,0.0,0,109.7,10.0,2024,148
Bryce Oliver,TEN,2,2,23,0,1.0,16,8.0,7,3.5,8.0,0,,0,0.0,0,114.6,10.0,2024,148
Chigoziem Okonkwo,TEN,1,1,14,0,1.0,5,5.0,9,9.0,5.0,0,,0,0.0,0,118.7,10.0,2024,148
Josh Whyle,TEN,1,0,0,0,,0,,0,,8.0,0,,0,0.0,0,39.6,10.0,2024,148
Will Dissly,LAC,6,5,30,0,2.0,20,4.0,10,2.0,6.5,0,,0,0.0,0,87.5,10.0,2024,148
J.K. Dobbins,LAC,3,3,5,0,1.0,-14,-4.7,19,6.3,-4.7,0,,0,0.0,0,79.2,10.0,2024,148
Quentin Johnston,LAC,2,2,24,1,1.0,16,8.0,8,4.0,8.0,0,,0,0.0,0,156.2,10.0,2024,148
Ladd McConkey,LAC,2,2,52,0,2.0,28,14.0,24,12.0,14.0,0,,0,0.0,0,118.7,10.0,2024,148
Derius Davis,LAC,1,1,17,0,1.0,-5,-5.0,22,22.0,-5.0,0,,0,0.0,0,118.7,10.0,2024,148
Josh Palmer,LAC,2,1,36,0,1.0,26,26.0,10,10.0,23.5,0,,0,0.0,0,95.8,10.0,2024,148
Hayden Hurst,LAC,1,0,0,0,,0,,0,,-1.0,0,,1,100.0,0,39.6,10.0,2024,148
Jalen Reagor,LAC,1,0,0,0,,0,,0,,3.0,0,,0,0.0,0,39.6,10.0,2024,148
