Player,Pos,home_team,team,week,year,game_id
Lamar Jackson,QB,1,Ravens,10.0,2024,139
Derrick Henry,RB,1,Ravens,10.0,2024,139
Rashod Bateman,WR,1,Ravens,10.0,2024,139
Zay Flowers,WR,1,Ravens,10.0,2024,139
Nelson Agholor,WR,1,Ravens,10.0,2024,139
Mark Andrews,TE,1,Ravens,10.0,2024,139
Patrick Mekari,OL,1,Ravens,10.0,2024,139
Roger Rosengarten,OT,1,Ravens,10.0,2024,139
Daniel Faalele,T,1,Ravens,10.0,2024,139
Ronnie Stanley,T,1,Ravens,10.0,2024,139
Tyler Linderbaum,C,1,Ravens,10.0,2024,139
Nnamdi Madubuike,DT,1,Ravens,10.0,2024,139
Travis Jones,DT,1,Ravens,10.0,2024,139
Odafe Oweh,OLB,1,Ravens,10.0,2024,139
Kyle Van Noy,OLB,1,Ravens,10.0,2024,139
Trenton Simpson,LB,1,Ravens,10.0,2024,139
Roquan Smith,LB,1,Ravens,10.0,2024,139
Marlon Humphrey,CB,1,Ravens,10.0,2024,139
Brandon Stephens,DB,1,Ravens,10.0,2024,139
Kyle Hamilton,S,1,Ravens,10.0,2024,139
Ar'Darius Washington,S,1,Ravens,10.0,2024,139
Marcus Williams,S,1,Ravens,10.0,2024,139
