Unnamed: 0,MIA,LAR,week,year,game_id
First Downs,15,20,10.0,2024,152
Rush-Yds-TDs,22-67-1,18-70-0,10.0,2024,152
Cmp-Att-Yd-TD-INT,20-28-207-1-1,32-46-293-0-1,10.0,2024,152
Sacked-Yards,3-36,4-36,10.0,2024,152
Net Pass Yards,171,257,10.0,2024,152
Total Yards,238,327,10.0,2024,152
Fumbles-Lost,1-1,3-1,10.0,2024,152
Turnovers,2,2,10.0,2024,152
Penalties-Yards,1-15,6-64,10.0,2024,152
Third Down Conv.,6-13,3-12,10.0,2024,152
Fourth Down Conv.,0-0,0-0,10.0,2024,152
Time of Possession,29:48,30:12,10.0,2024,152
