Quarter,Time,Tm,Detail,NWE,CHI,week,year,game_id
1.0,6:19,Patriots,Joey Slye 30 yard field goal,3,0,10.0,2024,141
2.0,7:17,Bears,Cairo Santos 33 yard field goal,3,3,10.0,2024,141
,1:46,Patriots,Ja'Lynn Polk 2 yard pass from Drake Maye (Joey Slye kick),10,3,10.0,2024,141
,0:00,Patriots,Joey Slye 37 yard field goal,13,3,10.0,2024,141
4.0,7:30,Patriots,Joey Slye 25 yard field goal,16,3,10.0,2024,141
,2:17,Patriots,Joey Slye 33 yard field goal,19,3,10.0,2024,141
