Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,,10.0,2024,149
1.0,15:00,,,PHI 35,0.0,0.0,"Braden Mann kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,149
1.0,15:00,1.0,10.0,DAL 30,0.0,0.0,Cooper Rush pass complete short left to Jalen Tolbert for 4 yards (tackle by C.J. Gardner-Johnson),0.94,0.93,10.0,2024,149
1.0,14:26,2.0,6.0,DAL 34,0.0,0.0,Cooper Rush pass complete short right to CeeDee Lamb for -1 yards (tackle by Nolan Smith),0.93,0.1,10.0,2024,149
1.0,13:50,3.0,7.0,DAL 33,0.0,0.0,Cooper Rush pass incomplete deep right intended for Jalen Brooks (defended by Darius Slay),0.1,-1.18,10.0,2024,149
1.0,13:43,4.0,7.0,DAL 33,0.0,0.0,"Bryan Anger punts 37 yards, fair catch by Cooper DeJean at PHI-30",-1.18,-0.94,10.0,2024,149
1.0,13:35,1.0,10.0,PHI 30,0.0,0.0,Saquon Barkley right guard for no gain (tackle by DeMarvion Overshown),0.94,0.39,10.0,2024,149
1.0,12:59,2.0,10.0,PHI 30,0.0,0.0,Saquon Barkley up the middle for 8 yards (tackle by Eric Kendricks),0.39,0.76,10.0,2024,149
1.0,12:33,3.0,2.0,PHI 38,0.0,0.0,Jalen Hurts scrambles right end for 14 yards (tackle by Eric Kendricks),0.76,2.39,10.0,2024,149
1.0,11:49,1.0,10.0,DAL 48,0.0,0.0,"Jalen Hurts pass incomplete short left. Penalty on Trevon Diggs: Illegal Contact, 5 yards (accepted) (no play)",2.39,2.72,10.0,2024,149
1.0,11:40,1.0,10.0,DAL 43,0.0,0.0,Jalen Hurts sacked by and Carl Lawson for -5 yards and Osa Odighizuwa for -5 yards,2.72,1.5,10.0,2024,149
1.0,10:56,2.0,15.0,DAL 48,0.0,0.0,"Penalty on Fred Johnson: False Start, 5 yards (accepted) (no play)",1.5,0.83,10.0,2024,149
1.0,10:33,2.0,20.0,PHI 47,0.0,0.0,Jalen Hurts sacked by DeMarvion Overshown for -13 yards,0.83,-1.55,10.0,2024,149
1.0,9:47,3.0,33.0,PHI 34,0.0,0.0,Kenneth Gainwell up the middle for 11 yards (tackle by Eric Kendricks and DeMarvion Overshown),-1.55,-0.39,10.0,2024,149
1.0,9:06,4.0,22.0,PHI 45,0.0,0.0,"Braden Mann punts 55 yards, touchback.",-0.39,-0.28,10.0,2024,149
1.0,8:57,1.0,10.0,DAL 20,0.0,0.0,"Cooper Rush aborted snap, recovered by Milton Williams at DAL-17",0.28,-4.44,10.0,2024,149
1.0,8:52,1.0,10.0,DAL 17,0.0,0.0,Saquon Barkley right tackle for 1 yard (tackle by DeMarvion Overshown),4.44,4.0,10.0,2024,149
1.0,8:11,2.0,9.0,DAL 16,0.0,0.0,Jalen Hurts pass complete short right to A.J. Brown for 3 yards (tackle by Caelen Carson and DeMarvion Overshown),4.0,3.68,10.0,2024,149
1.0,7:38,3.0,6.0,DAL 13,0.0,0.0,"Jalen Hurts pass complete short left to Saquon Barkley for 12 yards (tackle by Malik Hooker and Jourdan Lewis). Penalty on Jourdan Lewis: Illegal Contact, 5 yards (declined)",3.68,6.97,10.0,2024,149
1.0,7:10,1.0,1.0,DAL 1,6.0,0.0,"Jalen Hurts up the middle for 1 yard, touchdown",6.97,7.0,10.0,2024,149
1.0,7:05,,,DAL 15,7.0,0.0,Jake Elliott kicks extra point good,0.0,0.0,10.0,2024,149
1.0,7:05,,,PHI 35,7.0,0.0,"Braden Mann kicks off 72 yards, returned by KaVontae Turpin for 47 yards (tackle by Kelee Ringo)",0.0,1.6,10.0,2024,149
1.0,6:59,1.0,10.0,DAL 40,7.0,0.0,Rico Dowdle left tackle for 8 yards (tackle by Zack Baun and Nakobe Dean),1.6,2.13,10.0,2024,149
1.0,6:20,2.0,2.0,DAL 48,7.0,0.0,Rico Dowdle right end for no gain (tackle by Jalen Carter and Zack Baun),2.13,1.42,10.0,2024,149
1.0,5:38,3.0,2.0,DAL 48,7.0,0.0,Cooper Rush pass complete short right to CeeDee Lamb for 6 yards,1.42,2.52,10.0,2024,149
1.0,5:07,1.0,10.0,PHI 46,7.0,0.0,Rico Dowdle left guard for 4 yards (tackle by Milton Williams),2.52,2.52,10.0,2024,149
