Unnamed: 0,MIN,JAX,week,year,game_id
First Downs,28,10,10.0,2024,147
Rush-Yds-TDs,43-169-0,18-56-1,10.0,2024,147
Cmp-Att-Yd-TD-INT,24-38-241-0-3,14-22-111-0-2,10.0,2024,147
Sacked-Yards,1-8,3-24,10.0,2024,147
Net Pass Yards,233,87,10.0,2024,147
Total Yards,402,143,10.0,2024,147
Fumbles-Lost,0-0,1-1,10.0,2024,147
Turnovers,3,3,10.0,2024,147
Penalties-Yards,6-40,3-25,10.0,2024,147
Third Down Conv.,5-14,5-11,10.0,2024,147
Fourth Down Conv.,1-1,0-0,10.0,2024,147
Time of Possession,42:19,17:41,10.0,2024,147
