Quarter,Time,Down,ToGo,Location,MIN,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,10.0,2024,147
1.0,15:00,,,MIN 35,0.0,0.0,"John Parker Romo kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,147
1.0,15:00,1.0,10.0,JAX 30,0.0,0.0,Travis Etienne up the middle for no gain (tackle by Jonathan Bullard and Camryn Bynum),0.94,0.39,10.0,2024,147
1.0,14:22,2.0,10.0,JAX 30,0.0,0.0,Mac Jones pass complete short right to Brenton Strange for 2 yards (tackle by Camryn Bynum),0.39,-0.03,10.0,2024,147
1.0,13:40,3.0,8.0,JAX 32,0.0,0.0,Mac Jones pass incomplete short left intended for Evan Engram,-0.03,-1.24,10.0,2024,147
1.0,13:33,4.0,8.0,JAX 32,0.0,0.0,"Logan Cooke punts 68 yards, touchback.",-1.24,-0.28,10.0,2024,147
1.0,13:25,1.0,10.0,MIN 20,0.0,0.0,Sam Darnold pass complete short right to Josh Oliver for 11 yards (tackle by Devin Lloyd),0.28,1.0,10.0,2024,147
1.0,12:52,1.0,10.0,MIN 31,0.0,0.0,Aaron Jones up the middle for 3 yards (tackle by DaVon Hamilton),1.0,0.87,10.0,2024,147
1.0,12:13,2.0,7.0,MIN 34,0.0,0.0,Aaron Jones up the middle for 4 yards (tackle by Foyesade Oluokun),0.87,0.7,10.0,2024,147
1.0,11:37,3.0,3.0,MIN 38,0.0,0.0,Sam Darnold pass complete short left to Justin Jefferson for 5 yards (tackle by Devin Lloyd),0.7,1.8,10.0,2024,147
1.0,10:51,1.0,10.0,MIN 43,0.0,0.0,Sam Darnold pass incomplete deep right intended for T.J. Hockenson (defended by Ronald Darby),1.8,1.25,10.0,2024,147
1.0,10:43,2.0,10.0,MIN 43,0.0,0.0,Sam Darnold pass complete short middle to Justin Jefferson for 15 yards (tackle by Tyson Campbell),1.25,2.79,10.0,2024,147
1.0,10:07,1.0,10.0,JAX 42,0.0,0.0,Aaron Jones up the middle for 3 yards (tackle by Ventrell Miller),2.79,2.65,10.0,2024,147
1.0,9:30,2.0,7.0,JAX 39,0.0,0.0,Aaron Jones right tackle for 9 yards (tackle by Andre Cisco and Devin Lloyd),2.65,3.58,10.0,2024,147
1.0,8:51,1.0,10.0,JAX 30,0.0,0.0,Sam Darnold pass incomplete deep right intended for Josh Oliver,3.58,3.03,10.0,2024,147
1.0,8:44,2.0,10.0,JAX 30,0.0,0.0,Aaron Jones up the middle for 3 yards (tackle by Arik Armstead),3.03,2.74,10.0,2024,147
1.0,8:05,3.0,7.0,JAX 27,0.0,0.0,Sam Darnold pass incomplete deep middle intended for Jordan Addison,2.74,1.67,10.0,2024,147
1.0,8:00,4.0,7.0,JAX 27,3.0,0.0,John Parker Romo 45 yard field goal good,1.67,3.0,10.0,2024,147
1.0,7:56,,,MIN 35,3.0,0.0,"John Parker Romo kicks off 64 yards, returned by Tank Bigsby for 24 yards (tackle by Jay Ward). Penalty on Brian Asamoah: Illegal Formation, 5 yards (accepted)",0.0,0.94,10.0,2024,147
1.0,7:50,1.0,10.0,JAX 30,3.0,0.0,Mac Jones pass complete short right to Brenton Strange for 23 yards (tackle by Byron Murphy),0.94,2.46,10.0,2024,147
1.0,7:15,1.0,10.0,MIN 47,3.0,0.0,Tank Bigsby up the middle for 3 yards (tackle by Josh Metellus and Ivan Pace),2.46,2.32,10.0,2024,147
1.0,6:46,2.0,7.0,MIN 44,3.0,0.0,Travis Etienne up the middle for 18 yards (tackle by Stephon Gilmore),2.32,3.84,10.0,2024,147
1.0,6:11,1.0,10.0,MIN 26,3.0,0.0,"Mac Jones pass complete short left to Travis Etienne for -1 yards (tackle by Andrew Van Ginkel). Penalty on Brandon Scherff: Ineligible Downfield Pass, 5 yards (declined)",3.84,3.16,10.0,2024,147
1.0,5:58,2.0,11.0,MIN 27,3.0,0.0,Mac Jones pass complete short left to Luke Farrell for 7 yards (tackle by Andrew Van Ginkel),3.16,3.4,10.0,2024,147
1.0,5:13,3.0,4.0,MIN 20,3.0,0.0,Mac Jones pass complete deep right to Gabriel Davis for 19 yards (tackle by Josh Metellus),3.4,6.97,10.0,2024,147
1.0,4:45,1.0,1.0,MIN 1,3.0,0.0,"Travis Etienne up the middle for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Travis Etienne up the middle for no gain (tackle by Ivan Pace)",6.97,5.91,10.0,2024,147
1.0,4:33,2.0,1.0,MIN 1,3.0,0.0,Mac Jones up the middle for no gain (tackle by Jerry Tillery),5.91,5.17,10.0,2024,147
1.0,3:48,3.0,1.0,MIN 1,3.0,6.0,"Mac Jones up the middle for 1 yard, touchdown",5.17,7.0,10.0,2024,147
1.0,3:44,,,MIN 15,3.0,7.0,Cam Little kicks extra point good,0.0,0.0,10.0,2024,147
1.0,3:44,,,JAX 35,3.0,7.0,"Cam Little kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,147
1.0,3:44,1.0,10.0,MIN 30,3.0,7.0,Sam Darnold pass complete deep middle to Josh Oliver for 28 yards (tackle by Darnell Savage),0.94,2.79,10.0,2024,147
1.0,3:06,1.0,10.0,JAX 42,3.0,7.0,"Penalty on Cam Robinson: False Start, 5 yards (accepted) (no play)",2.79,2.46,10.0,2024,147
1.0,2:48,1.0,15.0,JAX 47,3.0,7.0,Sam Darnold pass complete short middle to Trent Sherfield for 11 yards (tackle by Devin Lloyd and Foyesade Oluokun),2.46,3.05,10.0,2024,147
1.0,2:09,2.0,4.0,JAX 36,3.0,7.0,Aaron Jones right end for 6 yards (tackle by Tyler Lacy),3.05,3.58,10.0,2024,147
1.0,1:29,1.0,10.0,JAX 30,3.0,7.0,Sam Darnold pass short left (defended by Tyson Campbell) intended for Justin Jefferson is intercepted by Foyesade Oluokun at JAC-22 and returned for no gain (tackle by Josh Oliver),3.58,-0.41,10.0,2024,147
1.0,1:20,1.0,10.0,JAX 22,3.0,7.0,Mac Jones pass incomplete short right intended for Evan Engram,0.41,-0.13,10.0,2024,147
1.0,1:12,2.0,10.0,JAX 22,3.0,7.0,Mac Jones pass complete short right to Luke Farrell for 9 yards (tackle by Blake Cashman and Stephon Gilmore),-0.13,0.3,10.0,2024,147
1.0,0:44,3.0,2.0,JAX 31,3.0,7.0,Mac Jones pass incomplete short right intended for Brenton Strange,0.3,-1.31,10.0,2024,147
1.0,0:35,4.0,2.0,JAX 31,3.0,7.0,"Logan Cooke punts 52 yards, fair catch by Brandon Powell at MIN-17",-1.31,0.06,10.0,2024,147
1.0,0:28,1.0,10.0,MIN 17,3.0,7.0,Cam Akers up the middle for 7 yards (tackle by Antonio Johnson and Tyson Campbell),-0.06,0.48,10.0,2024,147
2.0,15:00,2.0,3.0,MIN 24,3.0,7.0,Cam Akers up the middle for no gain (tackle by Devin Lloyd),0.48,-0.37,10.0,2024,147
