Quarter,Time,Down,ToGo,Location,ATL,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Falcons to receive the opening kickoff.",,,10.0,2024,144
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 63 yards, returned by Ray-Ray McCloud for 24 yards (tackle by J.T. Gray)",0.0,0.67,10.0,2024,144
1.0,14:54,1.0,10.0,ATL 26,0.0,0.0,Bijan Robinson left end for 6 yards (tackle by Pete Werner),0.67,0.94,10.0,2024,144
1.0,14:21,2.0,4.0,ATL 32,0.0,0.0,Bijan Robinson right tackle for no gain (tackle by Pete Werner and Nathan Shepherd),0.94,0.23,10.0,2024,144
1.0,13:45,3.0,4.0,ATL 32,0.0,0.0,Kirk Cousins pass complete short middle to Ray-Ray McCloud for 11 yards (tackle by Shemar Jean-Charles),0.23,1.8,10.0,2024,144
1.0,13:24,1.0,10.0,ATL 43,0.0,0.0,Kirk Cousins pass incomplete short right,1.8,1.25,10.0,2024,144
1.0,13:18,2.0,10.0,ATL 43,0.0,0.0,Kirk Cousins pass incomplete short left intended for Darnell Mooney,1.25,0.56,10.0,2024,144
1.0,13:13,3.0,10.0,ATL 43,0.0,0.0,Kirk Cousins pass incomplete deep left intended for Drake London (defended by Tyrann Mathieu),0.56,-0.52,10.0,2024,144
1.0,13:09,4.0,10.0,ATL 43,0.0,0.0,"Bradley Pinion punts 45 yards, fair catch by Jermaine Jackson at NO-12",-0.52,0.35,10.0,2024,144
1.0,13:02,1.0,10.0,NOR 12,0.0,0.0,"Derek Carr pass complete short left to Taysom Hill for 34 yards. Penalty on Foster Moreau: Offensive Holding, 10 yards (accepted)",-0.35,1.33,10.0,2024,144
1.0,12:46,1.0,10.0,NOR 36,0.0,0.0,Alvin Kamara left end for 11 yards (tackle by Kaden Elliss),1.33,2.06,10.0,2024,144
1.0,12:13,1.0,10.0,NOR 47,0.0,0.0,Alvin Kamara right end for 7 yards (tackle by David Onyemata),2.06,2.46,10.0,2024,144
1.0,11:49,2.0,3.0,ATL 46,0.0,0.0,Alvin Kamara right tackle for 2 yards (tackle by Nathan Landman),2.46,2.02,10.0,2024,144
1.0,11:15,3.0,1.0,ATL 44,0.0,0.0,Taysom Hill right guard for 3 yards (tackle by Eddie Goldman and Grady Jarrett),2.02,2.85,10.0,2024,144
1.0,10:22,1.0,10.0,ATL 41,0.0,0.0,Derek Carr pass incomplete short right intended for Jordan Mims,2.85,2.31,10.0,2024,144
1.0,10:17,2.0,10.0,ATL 41,0.0,0.0,Taysom Hill left guard for 6 yards (tackle by Khalid Kareem),2.31,2.41,10.0,2024,144
1.0,9:32,3.0,4.0,ATL 35,0.0,0.0,Alvin Kamara left guard for 5 yards (tackle by Khalid Kareem and DeAngelo Malone),2.41,3.58,10.0,2024,144
1.0,9:00,1.0,10.0,ATL 30,0.0,0.0,Derek Carr pass complete short middle to Juwan Johnson for 16 yards (tackle by Mike Hughes and Kaden Elliss),3.58,4.65,10.0,2024,144
1.0,8:32,1.0,10.0,ATL 14,0.0,0.0,Derek Carr pass incomplete short middle intended for Foster Moreau,4.65,4.0,10.0,2024,144
1.0,8:28,2.0,10.0,ATL 14,0.0,0.0,"Derek Carr aborted snap, recovered by Derek Carr at ATL-14 and returned for -5 yards",4.0,2.73,10.0,2024,144
1.0,7:54,3.0,15.0,ATL 19,0.0,0.0,Derek Carr pass complete short right to Alvin Kamara for 13 yards (tackle by Justin Simmons and Grady Jarrett),2.73,3.01,10.0,2024,144
1.0,7:06,4.0,2.0,ATL 6,0.0,0.0,Taysom Hill left tackle for 1 yard (tackle by Nathan Landman and Kaden Elliss),3.01,0.38,10.0,2024,144
1.0,6:55,1.0,10.0,ATL 5,0.0,0.0,Tyler Allgeier right guard for 4 yards (tackle by Will Harris and Demario Davis),-0.38,-0.49,10.0,2024,144
1.0,6:16,2.0,6.0,ATL 9,0.0,0.0,Tyler Allgeier right end for 5 yards (tackle by Will Harris),-0.49,-0.37,10.0,2024,144
1.0,5:47,3.0,1.0,ATL 14,0.0,0.0,Kirk Cousins pass incomplete short left intended for Darnell Mooney (defended by Ugo Amadi),-0.37,-2.47,10.0,2024,144
