Unnamed: 0,CIN,BAL,week,year,game_id
First Downs,27,20,10.0,2024,139
Rush-Yds-TDs,16-49-1,25-99-1,10.0,2024,139
Cmp-Att-Yd-TD-INT,34-56-428-4-0,25-33-290-4-0,10.0,2024,139
Sacked-Yards,3-7,0-0,10.0,2024,139
Net Pass Yards,421,290,10.0,2024,139
Total Yards,470,389,10.0,2024,139
Fumbles-Lost,3-1,0-0,10.0,2024,139
Turnovers,1,0,10.0,2024,139
Penalties-Yards,3-23,11-81,10.0,2024,139
Third Down Conv.,8-16,7-12,10.0,2024,139
Fourth Down Conv.,2-4,0-0,10.0,2024,139
Time of Possession,31:35,28:25,10.0,2024,139
