Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Brock Purdy,SFO,4,17,0,10,10.0,2024,143
Christian McCaffrey,SFO,13,39,0,13,10.0,2024,143
Deebo Samuel,SFO,3,14,0,12,10.0,2024,143
Jordan Mason,SFO,1,5,0,5,10.0,2024,143
Jauan Jennings,SFO,0,0,0,0,10.0,2024,143
Ricky Pearsall,SFO,0,0,0,0,10.0,2024,143
George Kittle,SFO,0,0,0,0,10.0,2024,143
Isaac Guerendo,SFO,1,0,0,0,10.0,2024,143
Baker Mayfield,TAM,3,3,0,3,10.0,2024,143
Bucky Irving,TAM,13,73,1,14,10.0,2024,143
Rachaad White,TAM,10,31,0,8,10.0,2024,143
Sterling Shepard,TAM,1,3,0,3,10.0,2024,143
Cade Otton,TAM,0,0,0,0,10.0,2024,143
Ryan Miller,TAM,0,0,0,0,10.0,2024,143
Rakim Jarrett,TAM,0,0,0,0,10.0,2024,143
Trey Palmer,TAM,0,0,0,0,10.0,2024,143
