Unnamed: 0,PIT,WAS,week,year,game_id
First Downs,21,19,10.0,2024,142
Rush-Yds-TDs,43-140-1,22-60-3,10.0,2024,142
Cmp-Att-Yd-TD-INT,14-29-195-3-1,17-34-202-0-0,10.0,2024,142
Sacked-Yards,3-23,3-20,10.0,2024,142
Net Pass Yards,172,182,10.0,2024,142
Total Yards,312,242,10.0,2024,142
Fumbles-Lost,1-1,2-1,10.0,2024,142
Turnovers,2,1,10.0,2024,142
Penalties-Yards,5-49,5-41,10.0,2024,142
Third Down Conv.,7-16,5-14,10.0,2024,142
Fourth Down Conv.,1-2,0-1,10.0,2024,142
Time of Possession,36:11,23:49,10.0,2024,142
