Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Dolphins,8.0,-2.5,0.82,-3.32,-6.85,8.9,1.34,7.16,7.4,3.64,-4.29,6.48,1.25,-2.03,2.23,10.0,2024,152
Rams,-8.0,-8.9,-1.34,-7.16,-7.4,2.5,-0.82,3.32,6.85,-3.64,-6.48,4.29,2.03,-1.25,-2.23,10.0,2024,152
