Quarter,Time,Down,ToGo,Location,NYG,CAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Panthers to receive the opening kickoff.",,,10.0,2024,140
1,15:00,,,NYG 35,0.0,0.0,"Graham Gano kicks off 65 yards, returned by Raheem Blackshear for 28 yards (tackle by Isaiah Simmons)",0.0,0.81,10.0,2024,140
1,14:55,1.0,10.0,CAR 28,0.0,0.0,Chuba Hubbard right guard for 5 yards (tackle by Brian Burns and Micah McFadden),0.81,0.94,10.0,2024,140
1,14:27,2.0,5.0,CAR 33,0.0,0.0,Bryce Young sacked by Brian Burns for -8 yards,0.94,-0.82,10.0,2024,140
1,13:49,3.0,13.0,CAR 25,0.0,0.0,Bryce Young pass complete short middle to Jalen Coker for 9 yards (tackle by Bobby Okereke and Tyler Nubin),-0.82,-1.11,10.0,2024,140
1,13:06,4.0,4.0,CAR 34,0.0,0.0,"Johnny Hekker punts 49 yards, returned by Ihmir Smith-Marsette for no gain (tackle by Lonnie Johnson)",-1.11,0.06,10.0,2024,140
1,12:55,1.0,10.0,NYG 17,0.0,0.0,"Daniel Jones pass incomplete deep left intended for Jalin Hyatt. Penalty on Michael Jackson: Defensive Pass Interference, 43 yards (accepted) (no play)",-0.06,2.92,10.0,2024,140
1,12:45,1.0,10.0,CAR 40,0.0,0.0,Daniel Jones pass incomplete short left,2.92,2.37,10.0,2024,140
1,12:40,2.0,10.0,CAR 40,0.0,0.0,Tyrone Tracy left tackle for 2 yards (tackle by D.J. Wonnum and A'Shawn Robinson),2.37,1.95,10.0,2024,140
1,12:02,3.0,8.0,CAR 38,0.0,0.0,Daniel Jones pass incomplete short right intended for Malik Nabers,1.95,0.72,10.0,2024,140
1,11:55,4.0,8.0,CAR 38,0.0,0.0,"Penalty on Daniel Jones: Delay of Game, 5 yards (accepted) (no play)",0.72,0.4,10.0,2024,140
1,11:55,4.0,13.0,CAR 43,0.0,0.0,"Jamie Gillan punts 33 yards, fair catch by David Moore at CAR-10",0.4,0.38,10.0,2024,140
1,11:48,1.0,10.0,CAR 10,0.0,0.0,Bryce Young pass complete deep right to Xavier Legette for 23 yards (tackle by Tyler Nubin),-0.38,1.14,10.0,2024,140
1,11:10,1.0,10.0,CAR 33,0.0,0.0,Chuba Hubbard left end for 26 yards (tackle by Micah McFadden),1.14,2.85,10.0,2024,140
1,10:35,1.0,10.0,NYG 41,0.0,0.0,Chuba Hubbard right guard for 3 yards (tackle by Micah McFadden and Bobby Okereke),2.85,2.71,10.0,2024,140
1,9:59,2.0,7.0,NYG 38,0.0,0.0,Bryce Young pass complete short right to Xavier Legette for 6 yards (tackle by Deonte Banks),2.71,2.81,10.0,2024,140
1,9:24,3.0,1.0,NYG 32,0.0,0.0,Chuba Hubbard right end for 26 yards (tackle by Cordale Flott),2.81,5.83,10.0,2024,140
1,8:53,1.0,6.0,NYG 6,0.0,0.0,Chuba Hubbard left guard for 1 yard (tackle by Brian Burns and Dexter Lawrence),5.83,5.15,10.0,2024,140
1,8:10,2.0,5.0,NYG 5,0.0,0.0,Bryce Young pass incomplete short left intended for Jalen Coker (defended by Cordale Flott),5.15,4.26,10.0,2024,140
1,7:54,3.0,5.0,NYG 5,0.0,6.0,"Bryce Young pass complete short middle to Ja'Tavion Sanders for 5 yards, touchdown",4.26,7.0,10.0,2024,140
1,7:48,,,NYG 15,0.0,7.0,Eddy Piñeiro kicks extra point good,0.0,0.0,10.0,2024,140
1,7:48,,,CAR 35,0.0,7.0,"Eddy Piñeiro kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,140
1,7:48,1.0,10.0,NYG 30,0.0,7.0,Devin Singletary right guard for 9 yards (tackle by Jaycee Horn and Josey Jewell),0.94,1.61,10.0,2024,140
1,7:14,2.0,1.0,NYG 39,0.0,7.0,Daniel Jones pass complete short left to Wan'Dale Robinson for 3 yards (tackle by Jordan Fuller),1.61,1.73,10.0,2024,140
