Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Ravens won the coin toss and deferred, Bengals to receive the opening kickoff.",,,10.0,2024,139
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,139
1.0,15:00,1.0,10.0,CIN 30,0.0,0.0,Joe Burrow pass complete short left to Chase Brown for 7 yards (tackle by Ar'Darius Washington),0.94,1.34,10.0,2024,139
1.0,14:24,2.0,3.0,CIN 37,0.0,0.0,Joe Burrow pass complete short middle to Ja'Marr Chase for 6 yards (tackle by Kyle Hamilton and Roquan Smith),1.34,1.8,10.0,2024,139
1.0,13:43,1.0,10.0,CIN 43,0.0,0.0,Chase Brown left guard for 1 yard (tackle by Nnamdi Madubuike and Travis Jones),1.8,1.39,10.0,2024,139
1.0,13:03,2.0,9.0,CIN 44,0.0,0.0,Joe Burrow pass incomplete short right intended for Jermaine Burton (defended by Marlon Humphrey),1.39,0.69,10.0,2024,139
1.0,12:58,3.0,9.0,CIN 44,0.0,0.0,Joe Burrow pass complete deep middle to Ja'Marr Chase for 26 yards (tackle by Marcus Williams and Kyle Hamilton),0.69,3.58,10.0,2024,139
1.0,12:19,1.0,10.0,BAL 30,0.0,0.0,Chase Brown left end for 2 yards (tackle by Tavius Robinson and Roquan Smith),3.58,3.3,10.0,2024,139
1.0,11:42,2.0,8.0,BAL 28,0.0,0.0,Chase Brown left guard for 4 yards (tackle by Josh Tupou),3.3,3.14,10.0,2024,139
1.0,11:03,3.0,4.0,BAL 24,0.0,0.0,Joe Burrow pass complete short middle to Andrei Iosivas for 19 yards (tackle by Marcus Williams),3.14,6.06,10.0,2024,139
1.0,10:22,1.0,5.0,BAL 5,0.0,0.0,"Joe Burrow pass complete short left to Mike Gesicki for 3 yards (tackle by Kyle Hamilton) BAL challenged the pass completion ruling, and the play was upheld.",6.06,5.72,10.0,2024,139
1.0,9:45,2.0,2.0,BAL 2,0.0,0.0,Joe Burrow pass incomplete short left intended for Ja'Marr Chase,5.72,4.95,10.0,2024,139
1.0,9:40,,,,,,Timeout #2 by Baltimore Ravens,,,10.0,2024,139
1.0,9:40,3.0,2.0,BAL 2,0.0,0.0,Joe Burrow pass incomplete short right,4.95,3.25,10.0,2024,139
1.0,9:34,4.0,2.0,BAL 2,0.0,0.0,"Joe Burrow pass incomplete short middle intended for Andrei Iosivas. Penalty on Brandon Stephens: Defensive Holding, 1 yard (accepted) (no play)",3.25,6.97,10.0,2024,139
1.0,9:27,1.0,1.0,BAL 1,6.0,0.0,"Chase Brown right guard for 1 yard, touchdown",6.97,7.0,10.0,2024,139
1.0,9:23,,,BAL 15,7.0,0.0,Evan McPherson kicks extra point good,0.0,0.0,10.0,2024,139
1.0,9:23,,,CIN 35,7.0,0.0,"Evan McPherson kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,139
1.0,9:23,1.0,10.0,BAL 30,7.0,0.0,Lamar Jackson pass incomplete deep left intended for Rashod Bateman (defended by Cam Taylor-Britt),0.94,0.39,10.0,2024,139
1.0,9:17,2.0,10.0,BAL 30,7.0,0.0,Derrick Henry right tackle for 6 yards (tackle by Geno Stone),0.39,0.5,10.0,2024,139
1.0,8:43,3.0,4.0,BAL 36,7.0,0.0,Justice Hill left guard for no gain (tackle by B.J. Hill),0.5,-0.98,10.0,2024,139
1.0,8:02,4.0,4.0,BAL 36,7.0,0.0,Jordan Stout punts 54 yards out of bounds,-0.98,0.38,10.0,2024,139
1.0,7:54,1.0,10.0,CIN 10,7.0,0.0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,-0.38,-0.78,10.0,2024,139
1.0,7:50,2.0,10.0,CIN 10,7.0,0.0,Joe Burrow pass incomplete short right intended for Mike Gesicki (defended by Ar'Darius Washington),-0.78,-1.42,10.0,2024,139
1.0,7:40,,,,,,Timeout #1 by Cincinnati Bengals,,,10.0,2024,139
1.0,7:40,3.0,10.0,CIN 10,7.0,0.0,"Joe Burrow pass incomplete short right intended for Ja'Marr Chase. Penalty on Nate Wiggins: Defensive Pass Interference, 13 yards (accepted) (no play)",-1.42,0.48,10.0,2024,139
1.0,7:39,1.0,10.0,CIN 23,7.0,0.0,Chase Brown left end for 7 yards (tackle by Trenton Simpson),0.48,0.88,10.0,2024,139
1.0,7:02,2.0,3.0,CIN 30,7.0,0.0,Joe Burrow pass complete short left to Chase Brown for 7 yards (tackle by Roquan Smith),0.88,1.4,10.0,2024,139
1.0,6:21,1.0,10.0,CIN 37,7.0,0.0,"Chase Brown left tackle for no gain (tackle by Roquan Smith). Penalty on Ted Karras: Offensive Holding, 10 yards (accepted) (no play)",1.4,0.74,10.0,2024,139
1.0,5:58,1.0,20.0,CIN 27,7.0,0.0,Joe Burrow pass complete short left to Mike Gesicki for 9 yards (tackle by Roquan Smith),0.74,0.72,10.0,2024,139
1.0,5:17,2.0,11.0,CIN 36,7.0,0.0,Joe Burrow pass complete short left to Tanner Hudson for 9 yards (tackle by Trenton Simpson),0.72,1.22,10.0,2024,139
1.0,4:34,3.0,2.0,CIN 45,7.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 7 yards (tackle by Brandon Stephens),1.22,2.39,10.0,2024,139
1.0,3:54,1.0,10.0,BAL 48,7.0,0.0,Chase Brown left end for 7 yards (tackle by Odafe Oweh),2.39,2.79,10.0,2024,139
1.0,3:15,2.0,3.0,BAL 41,7.0,0.0,Joe Burrow pass incomplete short right intended for Andrei Iosivas,2.79,2.08,10.0,2024,139
1.0,3:07,3.0,3.0,BAL 41,7.0,0.0,Joe Burrow pass incomplete deep right intended for Mike Gesicki (defended by Kyle Hamilton),2.08,0.53,10.0,2024,139
1.0,3:01,4.0,3.0,BAL 41,7.0,0.0,Joe Burrow pass incomplete deep right intended for Jermaine Burton,0.53,-1.66,10.0,2024,139
1.0,2:56,1.0,10.0,BAL 41,7.0,0.0,"Penalty on Daniel Faalele: False Start, 5 yards (accepted) (no play)",1.66,1.33,10.0,2024,139
1.0,2:56,1.0,15.0,BAL 36,7.0,0.0,Derrick Henry right guard for 4 yards (tackle by Logan Wilson),1.33,0.99,10.0,2024,139
1.0,2:24,2.0,11.0,BAL 40,7.0,0.0,Lamar Jackson pass complete short left to Mark Andrews for 17 yards (tackle by Jordan Battle),0.99,2.72,10.0,2024,139
1.0,1:44,1.0,10.0,CIN 43,7.0,0.0,Lamar Jackson pass incomplete short right intended for Zay Flowers,2.72,2.18,10.0,2024,139
1.0,1:40,2.0,10.0,CIN 43,7.0,0.0,Lamar Jackson scrambles right end for 9 yards (tackle by Joseph Ossai),2.18,2.68,10.0,2024,139
1.0,1:06,3.0,1.0,CIN 34,7.0,0.0,Keaton Mitchell left tackle for no gain (tackle by Kris Jenkins) (no play),2.68,3.64,10.0,2024,139
1.0,0:46,1.0,10.0,CIN 29,7.0,0.0,Lamar Jackson pass complete short right to Zay Flowers for 11 yards (tackle by Jordan Battle),3.64,4.37,10.0,2024,139
2.0,15:00,1.0,10.0,CIN 18,7.0,0.0,Derrick Henry left end for 7 yards (tackle by Josh Newton),4.37,5.01,10.0,2024,139
2.0,14:29,2.0,3.0,CIN 11,7.0,0.0,Derrick Henry right end for -1 yards (tackle by B.J. Hill),5.01,4.03,10.0,2024,139
2.0,13:47,3.0,4.0,CIN 12,7.0,0.0,Lamar Jackson pass complete short middle to Justice Hill for 6 yards (tackle by Vonn Bell and B.J. Hill),4.03,5.83,10.0,2024,139
2.0,13:08,1.0,6.0,CIN 6,7.0,6.0,"Lamar Jackson pass complete short right to Nelson Agholor for 6 yards, touchdown",5.83,7.0,10.0,2024,139
2.0,13:04,,,CIN 15,7.0,7.0,Justin Tucker kicks extra point good,0.0,0.0,10.0,2024,139
2.0,13:04,,,BAL 35,7.0,7.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,139
2.0,13:04,1.0,10.0,CIN 30,7.0,7.0,"Joe Burrow aborted snap, recovered by Khalil Herbert at CIN-29",0.94,0.26,10.0,2024,139
2.0,12:26,2.0,11.0,CIN 29,7.0,7.0,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase,0.26,-0.43,10.0,2024,139
2.0,12:18,3.0,11.0,CIN 29,7.0,7.0,Joe Burrow pass complete short right to Tanner Hudson for 9 yards (tackle by Marlon Humphrey),-0.43,-0.85,10.0,2024,139
