Unnamed: 0,PHI,DAL,week,year,game_id
First Downs,24,11,10.0,2024,149
Rush-Yds-TDs,38-187-2,24-97-0,10.0,2024,149
Cmp-Att-Yd-TD-INT,15-22-207-2-1,17-29-66-0-1,10.0,2024,149
Sacked-Yards,5-46,3-17,10.0,2024,149
Net Pass Yards,161,49,10.0,2024,149
Total Yards,348,146,10.0,2024,149
Fumbles-Lost,1-1,4-4,10.0,2024,149
Turnovers,2,5,10.0,2024,149
Penalties-Yards,7-49,5-40,10.0,2024,149
Third Down Conv.,4-11,3-14,10.0,2024,149
Fourth Down Conv.,1-1,2-2,10.0,2024,149
Time of Possession,34:01,25:59,10.0,2024,149
