Quarter,Time,Tm,Detail,NYG,CAR,week,year,game_id
1,7:48,Panthers,Ja'Tavion Sanders 5 yard pass from Bryce Young (Eddy Piñeiro kick),0,7,10.0,2024,140
2,14:55,Panthers,Eddy Piñeiro 53 yard field goal,0,10,10.0,2024,140
3,8:54,Giants,Tyrone Tracy Jr. 32 yard rush (Graham Gano kick),7,10,10.0,2024,140
,3:33,Panthers,Chuba Hubbard 1 yard rush (Eddy Piñeiro kick),7,17,10.0,2024,140
4,8:33,Giants,Daniel Jones 2 yard rush (Graham Gano kick),14,17,10.0,2024,140
,0:05,Giants,Graham Gano 42 yard field goal,17,17,10.0,2024,140
OT,7:53,Panthers,Eddy Piñeiro 36 yard field goal,17,20,10.0,2024,140
