Unnamed: 0,NYJ,ARI,week,year,game_id
First Downs,17,28,10.0,2024,150
Rush-Yds-TDs,17-79-0,32-147-3,10.0,2024,150
Cmp-Att-Yd-TD-INT,22-35-151-0-0,22-24-266-1-0,10.0,2024,150
Sacked-Yards,3-23,1-7,10.0,2024,150
Net Pass Yards,128,259,10.0,2024,150
Total Yards,207,406,10.0,2024,150
Fumbles-Lost,1-1,1-0,10.0,2024,150
Turnovers,1,0,10.0,2024,150
Penalties-Yards,3-25,5-58,10.0,2024,150
Third Down Conv.,6-13,5-7,10.0,2024,150
Fourth Down Conv.,1-3,1-1,10.0,2024,150
Time of Possession,27:18,32:42,10.0,2024,150
