Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Brock Purdy,SFO,25,36,353,17,43.6,252,7.0,181,7.2,5.0,172,6.9,0,0.0%,6,17.6%,3,16,3,4,10,23.8%,3,6.0,10.0,2024,143
Baker Mayfield,TAM,18,29,116,8,25.8,157,5.4,33,1.8,1.1,83,4.6,1,3.4%,5,17.2%,2,8,3,0,5,15.6%,1,3.0,10.0,2024,143
