Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Jared Goff,DET,0,0,10.0,2024,151
Jahmyr Gibbs,DET,0,0,10.0,2024,151
David Montgomery,DET,1,0,10.0,2024,151
Sam LaPorta,DET,0,0,10.0,2024,151
Amon-Ra St. Brown,DET,0,0,10.0,2024,151
Jameson Williams,DET,0,0,10.0,2024,151
C.J. Stroud,HOU,1,0,10.0,2024,151
Joe Mixon,HOU,0,0,10.0,2024,151
Dare Ogunbowale,HOU,0,0,10.0,2024,151
John Metchie,HOU,0,0,10.0,2024,151
Dalton Schultz,HOU,0,0,10.0,2024,151
Xavier Hutchinson,HOU,0,0,10.0,2024,151
Cade Stover,HOU,0,0,10.0,2024,151
Robert Woods,HOU,0,0,10.0,2024,151
Tank Dell,HOU,0,0,10.0,2024,151
