Quarter,Time,Tm,Detail,NYJ,ARI,week,year,game_id
1.0,12:58,Cardinals,James Conner 1 yard rush (Chad Ryland kick),0,7,10.0,2024,150
,7:48,Jets,Spencer Shrader 25 yard field goal,3,7,10.0,2024,150
,2:54,Cardinals,Kyler Murray 1 yard rush (Chad Ryland kick),3,14,10.0,2024,150
2.0,11:37,Jets,Spencer Shrader 45 yard field goal,6,14,10.0,2024,150
,5:44,Cardinals,Marvin Harrison Jr. 9 yard pass from Kyler Murray (Chad Ryland kick),6,21,10.0,2024,150
,0:00,Cardinals,Chad Ryland 37 yard field goal,6,24,10.0,2024,150
3.0,4:13,Cardinals,Kyler Murray 12 yard rush (Chad Ryland kick),6,31,10.0,2024,150
