Unnamed: 0,DEN,KAN,week,year,game_id
First Downs,16,19,10.0,2024,146
Rush-Yds-TDs,23-78-0,19-57-0,10.0,2024,146
Cmp-Att-Yd-TD-INT,22-30-215-2-0,28-42-266-1-0,10.0,2024,146
Sacked-Yards,2-33,4-23,10.0,2024,146
Net Pass Yards,182,243,10.0,2024,146
Total Yards,260,300,10.0,2024,146
Fumbles-Lost,1-0,0-0,10.0,2024,146
Turnovers,0,0,10.0,2024,146
Penalties-Yards,6-35,3-10,10.0,2024,146
Third Down Conv.,7-13,7-16,10.0,2024,146
Fourth Down Conv.,0-0,2-2,10.0,2024,146
Time of Possession,26:39,33:21,10.0,2024,146
