Unnamed: 0,BUF,IND,week,year,game_id
First Downs,21,19,10.0,2024,145
Rush-Yds-TDs,31-135-2,22-121-0,10.0,2024,145
Cmp-Att-Yd-TD-INT,22-37-280-0-2,26-35-272-2-3,10.0,2024,145
Sacked-Yards,2-0,4-32,10.0,2024,145
Net Pass Yards,280,240,10.0,2024,145
Total Yards,415,361,10.0,2024,145
Fumbles-Lost,1-0,2-1,10.0,2024,145
Turnovers,2,4,10.0,2024,145
Penalties-Yards,8-54,5-25,10.0,2024,145
Third Down Conv.,7-14,4-11,10.0,2024,145
Fourth Down Conv.,2-3,2-3,10.0,2024,145
Time of Possession,32:08,27:52,10.0,2024,145
