Unnamed: 0_level_0,Unnamed: 1_level_0,Rushing,Rushing,Rushing,Rushing,week,year,game_id
Player,Tm,Att,Yds,TD,Lng,,,
Jared Goff,DET,1,2,0,2,10.0,2024,151
Jahmyr Gibbs,DET,19,71,0,20,10.0,2024,151
David Montgomery,DET,12,32,1,12,10.0,2024,151
Sam LaPorta,DET,0,0,0,0,10.0,2024,151
Amon-Ra St. Brown,DET,0,0,0,0,10.0,2024,151
Jameson Williams,DET,0,0,0,0,10.0,2024,151
C.J. Stroud,HOU,1,5,0,5,10.0,2024,151
Joe Mixon,HOU,25,46,1,8,10.0,2024,151
Dare Ogunbowale,HOU,1,11,0,11,10.0,2024,151
John Metchie,HOU,0,0,0,0,10.0,2024,151
Dalton Schultz,HOU,0,0,0,0,10.0,2024,151
Xavier Hutchinson,HOU,0,0,0,0,10.0,2024,151
Cade Stover,HOU,0,0,0,0,10.0,2024,151
Robert Woods,HOU,0,0,0,0,10.0,2024,151
Tank Dell,HOU,1,-6,0,0,10.0,2024,151
