Quarter,Time,Down,ToGo,Location,NYJ,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,10.0,2024,150
1.0,15:00,,,NYJ 35,0.0,0.0,"Spencer Shrader kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,150
1.0,15:00,1.0,10.0,ARI 30,0.0,0.0,Kyler Murray pass incomplete deep left intended for Michael Wilson,0.94,0.39,10.0,2024,150
1.0,14:57,2.0,10.0,ARI 30,0.0,0.0,"Kyler Murray pass complete short right to Marvin Harrison for 18 yards (tackle by Jamien Sherwood). Penalty on Javon Kinlaw: Defensive Offside, 5 yards (declined)",0.39,2.13,10.0,2024,150
1.0,14:35,1.0,10.0,ARI 48,0.0,0.0,James Conner left end for 7 yards (tackle by Tony Adams and Isaiah Oliver),2.13,2.53,10.0,2024,150
1.0,14:00,2.0,3.0,NYJ 45,0.0,0.0,"Kyler Murray pass complete short left to James Conner for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Kyler Murray pass complete short left to James Conner for 44 yards (tackle by Jamien Sherwood)",2.53,6.97,10.0,2024,150
1.0,13:39,1.0,1.0,NYJ 1,0.0,0.0,James Conner up the middle for no gain (tackle by Javon Kinlaw and Jamien Sherwood),6.97,5.91,10.0,2024,150
1.0,13:01,2.0,1.0,NYJ 1,0.0,6.0,"James Conner up the middle for 1 yard, touchdown",5.91,7.0,10.0,2024,150
1.0,12:58,,,NYJ 15,0.0,7.0,Chad Ryland kicks extra point good,0.0,0.0,10.0,2024,150
1.0,12:58,,,ARI 35,0.0,7.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,150
1.0,12:58,1.0,10.0,NYJ 30,0.0,7.0,Breece Hall right end for 14 yards (tackle by Garrett Williams),0.94,1.86,10.0,2024,150
1.0,12:24,1.0,10.0,NYJ 44,0.0,7.0,Breece Hall right tackle for 3 yards (tackle by Zaven Collins),1.86,1.72,10.0,2024,150
1.0,11:46,2.0,7.0,NYJ 47,0.0,7.0,Aaron Rodgers pass complete short right to Breece Hall for 6 yards (tackle by Sean Murphy-Bunting),1.72,1.82,10.0,2024,150
1.0,11:09,3.0,1.0,ARI 47,0.0,7.0,Braelon Allen up the middle for 2 yards (tackle by Dante Stills and L.J. Collier),1.82,2.59,10.0,2024,150
1.0,10:26,1.0,10.0,ARI 45,0.0,7.0,"Aaron Rodgers pass incomplete short right intended for Garrett Wilson. Penalty on Sean Murphy-Bunting: Defensive Pass Interference, 12 yards (accepted) (no play)",2.59,3.38,10.0,2024,150
1.0,10:22,1.0,10.0,ARI 33,0.0,7.0,Braelon Allen left tackle for 12 yards (tackle by Kyzir White),3.38,4.17,10.0,2024,150
1.0,9:52,1.0,10.0,ARI 21,0.0,7.0,Aaron Rodgers pass complete short left to Kenny Yeboah for 4 yards (tackle by Mack Wilson),4.17,4.2,10.0,2024,150
1.0,9:15,2.0,6.0,ARI 17,0.0,7.0,Aaron Rodgers pass complete short left to Garrett Wilson for 6 yards (tackle by Dadrion Taylor-Demerson),4.2,4.84,10.0,2024,150
1.0,8:46,1.0,10.0,ARI 11,0.0,7.0,Breece Hall up the middle for 4 yards (tackle by Dadrion Taylor-Demerson),4.84,4.89,10.0,2024,150
1.0,8:04,2.0,6.0,ARI 7,0.0,7.0,Aaron Rodgers pass incomplete short right intended for Davante Adams,4.89,3.98,10.0,2024,150
1.0,7:57,3.0,6.0,ARI 7,0.0,7.0,Aaron Rodgers pass incomplete short right,3.98,2.98,10.0,2024,150
1.0,7:51,4.0,6.0,ARI 7,3.0,7.0,Spencer Shrader 25 yard field goal good,2.98,3.0,10.0,2024,150
1.0,7:48,,,NYJ 35,3.0,7.0,"Spencer Shrader kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,150
1.0,7:48,1.0,10.0,ARI 30,3.0,7.0,Kyler Murray pass complete short right to Michael Wilson for 3 yards (tackle by Sauce Gardner),0.94,0.8,10.0,2024,150
1.0,7:11,2.0,7.0,ARI 33,3.0,7.0,Kyler Murray pass complete short middle to Marvin Harrison for 17 yards (tackle by Tony Adams and Jalen Mills),0.8,2.26,10.0,2024,150
1.0,6:33,1.0,10.0,ARI 50,3.0,7.0,James Conner up the middle for 1 yard (tackle by Haason Reddick and Jalen Mills),2.26,1.85,10.0,2024,150
