Unnamed: 0,DET,HOU,week,year,game_id
First Downs,19,16,10.0,2024,151
Rush-Yds-TDs,32-105-1,28-56-1,10.0,2024,151
Cmp-Att-Yd-TD-INT,15-30-240-2-5,19-33-232-1-2,10.0,2024,151
Sacked-Yards,0-0,4-40,10.0,2024,151
Net Pass Yards,240,192,10.0,2024,151
Total Yards,345,248,10.0,2024,151
Fumbles-Lost,1-0,1-0,10.0,2024,151
Turnovers,5,2,10.0,2024,151
Penalties-Yards,4-61,4-30,10.0,2024,151
Third Down Conv.,7-12,6-15,10.0,2024,151
Fourth Down Conv.,0-0,0-0,10.0,2024,151
Time of Possession,27:32,32:28,10.0,2024,151
