Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,week,year,game_id
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,,,
Will Levis,TEN,18,23,175,2,0,7,18,41,127.4,10.0,2024,148
Tyjae Spears,TEN,0,0,0,0,0,0,0,0,,10.0,2024,148
Tony Pollard,TEN,0,0,0,0,0,0,0,0,,10.0,2024,148
Calvin Ridley,TEN,0,0,0,0,0,0,0,0,,10.0,2024,148
Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,10.0,2024,148
Bryce Oliver,TEN,0,0,0,0,0,0,0,0,,10.0,2024,148
Chigoziem Okonkwo,TEN,0,0,0,0,0,0,0,0,,10.0,2024,148
Josh Whyle,TEN,0,0,0,0,0,0,0,0,,10.0,2024,148
Justin Herbert,LAC,14,18,164,1,0,0,0,37,123.1,10.0,2024,148
Gus Edwards,LAC,0,0,0,0,0,0,0,0,,10.0,2024,148
J.K. Dobbins,LAC,0,0,0,0,0,0,0,0,,10.0,2024,148
Derius Davis,LAC,0,0,0,0,0,0,0,0,,10.0,2024,148
Hassan Haskins,LAC,0,0,0,0,0,0,0,0,,10.0,2024,148
Ladd McConkey,LAC,0,0,0,0,0,0,0,0,,10.0,2024,148
Josh Palmer,LAC,0,0,0,0,0,0,0,0,,10.0,2024,148
Will Dissly,LAC,0,0,0,0,0,0,0,0,,10.0,2024,148
Quentin Johnston,LAC,0,0,0,0,0,0,0,0,,10.0,2024,148
Hayden Hurst,LAC,0,0,0,0,0,0,0,0,,10.0,2024,148
Jalen Reagor,LAC,0,0,0,0,0,0,0,0,,10.0,2024,148
