Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bears won the coin toss and deferred, Patriots to receive the opening kickoff.",,,10.0,2024,141
1.0,15:00,,,CHI 35,0.0,0.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,141
1.0,15:00,1.0,10.0,NWE 30,0.0,0.0,Rhamondre Stevenson left guard for 6 yards (tackle by Tremaine Edmunds and Gervon Dexter),0.94,1.2,10.0,2024,141
1.0,14:27,2.0,4.0,NWE 36,0.0,0.0,"Ben Brown aborted snap, recovered by Drake Maye at NE-36 Drake Maye pass incomplete short middle intended for Hunter Henry",1.2,0.5,10.0,2024,141
1.0,14:23,3.0,4.0,NWE 36,0.0,0.0,Drake Maye sacked by Jacob Martin for no gain,0.5,-0.98,10.0,2024,141
1.0,13:44,4.0,4.0,NWE 36,0.0,0.0,"Bryce Baringer punts 49 yards, returned by DeAndre Carter for 38 yards (tackle by Curtis Jacobs)",-0.98,-2.46,10.0,2024,141
1.0,13:28,1.0,10.0,NWE 47,0.0,0.0,D'Andre Swift left guard for 3 yards (tackle by Anfernee Jennings),2.46,2.32,10.0,2024,141
1.0,12:44,2.0,7.0,NWE 44,0.0,0.0,Caleb Williams sacked by Anfernee Jennings for -3 yards,2.32,1.22,10.0,2024,141
1.0,11:58,3.0,10.0,NWE 47,0.0,0.0,Caleb Williams pass incomplete short right intended for Rome Odunze,1.22,0.13,10.0,2024,141
1.0,11:54,4.0,10.0,NWE 47,0.0,0.0,Tory Taylor punts 13 yards downed by Roschon Johnson,0.13,-1.2,10.0,2024,141
1.0,11:45,1.0,10.0,NWE 34,0.0,0.0,Drake Maye pass complete deep right to Austin Hooper for 28 yards (tackle by Kyler Gordon),1.2,3.05,10.0,2024,141
1.0,11:08,1.0,10.0,CHI 38,0.0,0.0,Rhamondre Stevenson right end for 5 yards (tackle by Tremaine Edmunds),3.05,3.18,10.0,2024,141
1.0,10:34,2.0,5.0,CHI 33,0.0,0.0,Jamycal Hasty right tackle for 6 yards (tackle by Kevin Byard and Tremaine Edmunds),3.18,3.78,10.0,2024,141
1.0,9:56,1.0,10.0,CHI 27,0.0,0.0,Jamycal Hasty left end for 5 yards (tackle by Elijah Hicks and Kevin Byard),3.78,3.91,10.0,2024,141
1.0,9:16,2.0,5.0,CHI 22,0.0,0.0,Jamycal Hasty right tackle for no gain (tackle by Kyler Gordon),3.91,3.2,10.0,2024,141
1.0,8:37,3.0,5.0,CHI 22,0.0,0.0,Drake Maye scrambles up the middle for 4 yards (tackle by Kevin Byard and Austin Booker),3.2,2.4,10.0,2024,141
1.0,7:59,,,,,,Timeout #1 by New England Patriots,,,10.0,2024,141
1.0,7:59,4.0,1.0,CHI 18,0.0,0.0,Rhamondre Stevenson right guard for 2 yards (tackle by Jacob Martin and T.J. Edwards),2.4,4.51,10.0,2024,141
1.0,7:17,1.0,10.0,CHI 16,0.0,0.0,Drake Maye pass incomplete short left,4.51,3.9,10.0,2024,141
1.0,7:10,2.0,10.0,CHI 16,0.0,0.0,Rhamondre Stevenson left guard for 4 yards (tackle by Kyler Gordon and Zacch Pickens),3.9,3.73,10.0,2024,141
1.0,6:31,3.0,6.0,CHI 12,0.0,0.0,Drake Maye pass incomplete short right intended for K.J. Osborn. Penalty on K.J. Osborn: Illegal Touch Pass (accepted),3.73,2.66,10.0,2024,141
1.0,6:23,4.0,6.0,CHI 12,3.0,0.0,Joey Slye 30 yard field goal good,2.66,3.0,10.0,2024,141
1.0,6:19,,,NWE 35,3.0,0.0,"Joey Slye kicks off 25 yards,. Penalty on Joey Slye: Kickoff Short of Landing Zone (accepted)",0.0,1.6,10.0,2024,141
1.0,6:19,1.0,10.0,CHI 40,3.0,0.0,D'Andre Swift left tackle for 2 yards (tackle by Davon Godchaux and Jahlani Tavai),1.6,1.32,10.0,2024,141
1.0,5:38,2.0,8.0,CHI 42,3.0,0.0,Caleb Williams pass complete short right to Keenan Allen for 9 yards (tackle by Curtis Jacobs and Jonathan Jones),1.32,2.32,10.0,2024,141
1.0,5:03,1.0,10.0,NWE 49,3.0,0.0,D'Andre Swift left end for 9 yards (tackle by Jaylinn Hawkins),2.32,3.0,10.0,2024,141
1.0,4:39,2.0,1.0,NWE 40,3.0,0.0,D'Andre Swift left guard for 6 yards (tackle by Sione Takitaki and Davon Godchaux),3.0,3.31,10.0,2024,141
1.0,4:03,1.0,10.0,NWE 34,3.0,0.0,D'Andre Swift right end for 5 yards (tackle by Jonathan Jones),3.31,3.45,10.0,2024,141
1.0,3:24,2.0,5.0,NWE 29,3.0,0.0,D'Andre Swift left tackle for -2 yards (tackle by Jaquelin Roy),3.45,2.48,10.0,2024,141
1.0,2:42,3.0,7.0,NWE 31,3.0,0.0,Caleb Williams sacked by Deatrich Wise for -8 yards,2.48,0.66,10.0,2024,141
1.0,1:51,4.0,15.0,NWE 39,3.0,0.0,"Tory Taylor punts 39 yards, touchback.",0.66,-0.28,10.0,2024,141
1.0,1:44,1.0,10.0,NWE 20,3.0,0.0,Rhamondre Stevenson left guard for 8 yards (tackle by Elijah Hicks and Kevin Byard),0.28,0.81,10.0,2024,141
1.0,1:16,2.0,2.0,NWE 28,3.0,0.0,Drake Maye pass complete short right to Demario Douglas for 17 yards (tackle by Kevin Byard),0.81,1.93,10.0,2024,141
1.0,0:40,1.0,10.0,NWE 45,3.0,0.0,Drake Maye pass short right intended for Austin Hooper is intercepted by T.J. Edwards at CHI-48 and returned for no gain,1.93,-2.13,10.0,2024,141
1.0,0:33,1.0,10.0,CHI 48,3.0,0.0,Caleb Williams pass complete short left to Keenan Allen for 2 yards (tackle by Jonathan Jones),2.13,1.85,10.0,2024,141
2.0,15:00,2.0,8.0,CHI 50,3.0,0.0,D'Andre Swift right guard for 5 yards (tackle by Jahlani Tavai),1.85,1.82,10.0,2024,141
2.0,14:22,3.0,3.0,NWE 45,3.0,0.0,Caleb Williams pass complete short right to D.J. Moore for -2 yards (tackle by Jaylinn Hawkins),1.82,0.13,10.0,2024,141
2.0,13:34,4.0,5.0,NWE 47,3.0,0.0,"Tory Taylor punts 35 yards, fair catch by Marcus Jones at NE-12",0.13,0.35,10.0,2024,141
2.0,13:30,1.0,10.0,NWE 12,3.0,0.0,Rhamondre Stevenson right end for 1 yard (tackle by T.J. Edwards),-0.35,-0.7,10.0,2024,141
2.0,12:51,2.0,9.0,NWE 13,3.0,0.0,Drake Maye scrambles left guard for 2 yards (tackle by T.J. Edwards),-0.7,-1.07,10.0,2024,141
2.0,12:08,3.0,7.0,NWE 15,3.0,0.0,Drake Maye pass incomplete short middle intended for Demario Douglas,-1.07,-2.44,10.0,2024,141
2.0,12:04,4.0,7.0,NWE 15,3.0,0.0,"Bryce Baringer punts 50 yards, fair catch by DeAndre Carter at CHI-35",-2.44,-1.27,10.0,2024,141
2.0,11:58,1.0,10.0,CHI 35,3.0,0.0,Caleb Williams pass complete short right to Rome Odunze for 11 yards (tackle by Marco Wilson and Jonathan Jones),1.27,1.99,10.0,2024,141
2.0,11:30,1.0,10.0,CHI 46,3.0,0.0,Caleb Williams pass complete short left to Keenan Allen for 12 yards (tackle by Marco Wilson),1.99,2.79,10.0,2024,141
2.0,10:59,1.0,10.0,NWE 42,3.0,0.0,"Penalty on Matt Pryor: False Start, 5 yards (accepted) (no play)",2.79,2.46,10.0,2024,141
2.0,10:41,1.0,15.0,NWE 47,3.0,0.0,Caleb Williams pass incomplete deep left intended for Rome Odunze,2.46,1.57,10.0,2024,141
2.0,10:36,,,,,,Timeout #1 by Chicago Bears,,,10.0,2024,141
2.0,10:36,2.0,15.0,NWE 47,3.0,0.0,Caleb Williams pass complete short middle to Keenan Allen for 11 yards (tackle by Marcus Jones),1.57,2.34,10.0,2024,141
2.0,10:14,3.0,4.0,NWE 36,3.0,0.0,Caleb Williams pass incomplete short right intended for D.J. Moore,2.34,0.89,10.0,2024,141
2.0,10:11,4.0,4.0,NWE 36,3.0,0.0,Caleb Williams scrambles left guard for 5 yards (tackle by Jeremiah Pharms),0.89,3.51,10.0,2024,141
2.0,9:46,1.0,10.0,NWE 31,3.0,0.0,D'Andre Swift right tackle for 8 yards (tackle by Jahlani Tavai),3.51,4.05,10.0,2024,141
2.0,9:17,2.0,2.0,NWE 23,3.0,0.0,D'Andre Swift right tackle for 9 yards (tackle by Jahlani Tavai),4.05,4.65,10.0,2024,141
2.0,8:55,1.0,10.0,NWE 14,3.0,0.0,D'Andre Swift left guard for -1 yards (tackle by Jeremiah Pharms),4.65,3.85,10.0,2024,141
2.0,8:14,2.0,11.0,NWE 15,3.0,0.0,D'Andre Swift left guard for no gain (tackle by Jeremiah Pharms and Keion White),3.85,3.06,10.0,2024,141
2.0,7:27,,,,,,Timeout #2 by Chicago Bears,,,10.0,2024,141
2.0,7:27,3.0,11.0,NWE 15,3.0,0.0,Caleb Williams pass incomplete short right,3.06,2.44,10.0,2024,141
2.0,7:21,4.0,11.0,NWE 15,3.0,3.0,Cairo Santos 33 yard field goal good,2.44,3.0,10.0,2024,141
2.0,7:17,,,CHI 35,3.0,3.0,"Cairo Santos kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,141
2.0,7:17,1.0,10.0,NWE 30,3.0,3.0,Rhamondre Stevenson right guard for 3 yards (tackle by Zacch Pickens),0.94,0.8,10.0,2024,141
2.0,6:39,2.0,7.0,NWE 33,3.0,3.0,Drake Maye pass complete short left to Kayshon Boutte for 4 yards (tackle by Tyrique Stevenson and T.J. Edwards),0.8,0.63,10.0,2024,141
2.0,6:01,3.0,3.0,NWE 37,3.0,3.0,Drake Maye pass complete short right to Demario Douglas for 17 yards (tackle by Kevin Byard),0.63,2.52,10.0,2024,141
2.0,5:21,1.0,10.0,CHI 46,3.0,3.0,Drake Maye pass complete short right to Demario Douglas for 7 yards (tackle by T.J. Edwards),2.52,2.92,10.0,2024,141
2.0,4:40,2.0,3.0,CHI 39,3.0,3.0,Jamycal Hasty right tackle for 2 yards (tackle by Chris Williams),2.92,2.48,10.0,2024,141
2.0,4:00,3.0,1.0,CHI 37,3.0,3.0,Drake Maye pass complete short left to Austin Hooper for 24 yards (tackle by Elijah Hicks),2.48,4.71,10.0,2024,141
2.0,3:13,1.0,10.0,CHI 13,3.0,3.0,Rhamondre Stevenson right tackle for 9 yards (tackle by Kevin Byard and Montez Sweat),4.71,5.73,10.0,2024,141
2.0,2:31,2.0,1.0,CHI 4,3.0,3.0,Rhamondre Stevenson right guard for no gain (tackle by Gervon Dexter and Jack Sanborn),5.73,5.01,10.0,2024,141
2.0,2:00,3.0,1.0,CHI 4,3.0,3.0,Rhamondre Stevenson left tackle for 2 yards (tackle by T.J. Edwards),5.01,6.74,10.0,2024,141
2.0,1:51,,,,,,Timeout #3 by Chicago Bears,,,10.0,2024,141
2.0,1:51,1.0,2.0,CHI 2,9.0,3.0,"Drake Maye pass complete short left to Ja'Lynn Polk for 2 yards, touchdown",6.74,7.0,10.0,2024,141
2.0,1:46,,,CHI 15,10.0,3.0,Joey Slye kicks extra point good,0.0,0.0,10.0,2024,141
2.0,1:46,,,NWE 35,10.0,3.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,141
2.0,1:46,1.0,10.0,CHI 30,10.0,3.0,Caleb Williams pass incomplete short right,0.94,0.39,10.0,2024,141
2.0,1:41,2.0,10.0,CHI 30,10.0,3.0,Caleb Williams scrambles right guard for 10 yards (tackle by Christian Gonzalez),0.39,1.6,10.0,2024,141
2.0,1:19,1.0,10.0,CHI 40,10.0,3.0,Roschon Johnson right guard for -4 yards (tackle by Jeremiah Pharms),1.6,0.51,10.0,2024,141
2.0,0:55,2.0,14.0,CHI 36,10.0,3.0,Caleb Williams pass incomplete short right intended for Rome Odunze,0.51,-0.16,10.0,2024,141
2.0,0:51,3.0,14.0,CHI 36,10.0,3.0,Caleb Williams pass incomplete short middle intended for Roschon Johnson (defended by Keion White),-0.16,-0.98,10.0,2024,141
2.0,0:47,4.0,14.0,CHI 36,10.0,3.0,"Tory Taylor punts 48 yards, returned by Marcus Jones for 24 yards (tackle by Tarvarius Moore and Scott Daly)",-0.98,-1.6,10.0,2024,141
2.0,0:35,1.0,10.0,NWE 40,10.0,3.0,Drake Maye pass incomplete deep middle intended for Kayshon Boutte (defended by Elijah Hicks),1.6,1.05,10.0,2024,141
2.0,0:26,2.0,10.0,NWE 40,10.0,3.0,Drake Maye pass complete short middle to Demario Douglas for 9 yards (tackle by Kevin Byard),1.05,1.55,10.0,2024,141
2.0,0:21,,,,,,Timeout #2 by New England Patriots,,,10.0,2024,141
2.0,0:21,3.0,1.0,NWE 49,10.0,3.0,Jamycal Hasty left guard for 4 yards (tackle by Elijah Hicks),1.55,2.46,10.0,2024,141
2.0,0:16,,,,,,Timeout #3 by New England Patriots,,,10.0,2024,141
2.0,0:16,1.0,10.0,CHI 47,10.0,3.0,Drake Maye pass complete deep middle to Kayshon Boutte for 23 yards (tackle by Jaylon Johnson),2.46,3.97,10.0,2024,141
2.0,0:01,1.0,10.0,CHI 24,10.0,3.0,"Drake Maye spiked the ball. Penalty on Montez Sweat: Defensive Offside, 5 yards (accepted) (no play)",3.97,4.84,10.0,2024,141
2.0,0:01,1.0,4.0,CHI 19,13.0,3.0,Joey Slye 37 yard field goal good,4.84,3.0,10.0,2024,141
3.0,15:00,,,NWE 35,13.0,3.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,141
3.0,15:00,1.0,10.0,CHI 30,13.0,3.0,Caleb Williams pass complete short left to D.J. Moore for 18 yards (tackle by Christian Gonzalez),0.94,2.13,10.0,2024,141
3.0,14:14,1.0,10.0,CHI 48,13.0,3.0,D'Andre Swift up the middle for 5 yards (tackle by Daniel Ekuale),2.13,2.26,10.0,2024,141
3.0,13:41,2.0,5.0,NWE 47,13.0,3.0,Caleb Williams sacked by Jeremiah Pharms for -3 yards,2.26,1.16,10.0,2024,141
3.0,12:56,3.0,8.0,CHI 50,13.0,3.0,Caleb Williams sacked by Deatrich Wise for no gain,1.16,-0.06,10.0,2024,141
3.0,12:22,4.0,8.0,CHI 50,13.0,3.0,Tory Taylor punts 36 yards downed by Scott Daly,-0.06,0.28,10.0,2024,141
3.0,12:07,1.0,10.0,NWE 14,13.0,3.0,Rhamondre Stevenson left end for 11 yards (tackle by Kevin Byard),-0.28,0.61,10.0,2024,141
3.0,11:33,1.0,10.0,NWE 25,13.0,3.0,Rhamondre Stevenson left tackle for 4 yards (tackle by Austin Booker),0.61,0.6,10.0,2024,141
3.0,10:41,2.0,6.0,NWE 29,13.0,3.0,"Drake Maye pass complete short right to Kayshon Boutte for 17 yards (tackle by Kevin Byard). Penalty on Michael Onwenu: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.6,-0.07,10.0,2024,141
