Quarter,Time,Down,ToGo,Location,TEN,LAC,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Titans won the coin toss and deferred, Chargers to receive the opening kickoff.",,,10.0,2024,148
1.0,15:00,,,TEN 35,0.0,0.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,10.0,2024,148
1.0,15:00,1.0,10.0,LAC 30,0.0,0.0,Justin Herbert pass complete short right to Quentin Johnston for 8 yards (tackle by Jarvis Brownlee),0.94,1.47,10.0,2024,148
1.0,14:20,2.0,2.0,LAC 38,0.0,0.0,J.K. Dobbins left end for -1 yards (tackle by Arden Key),1.47,0.63,10.0,2024,148
1.0,13:42,3.0,3.0,LAC 37,0.0,0.0,Justin Herbert pass complete short left to Will Dissly for 5 yards (tackle by Jack Gibbens),0.63,1.73,10.0,2024,148
1.0,13:05,1.0,10.0,LAC 42,0.0,0.0,Justin Herbert pass complete short left to Will Dissly for 14 yards (tackle by Kenneth Murray),1.73,2.65,10.0,2024,148
1.0,12:27,1.0,10.0,TEN 44,0.0,0.0,Gus Edwards up the middle for 11 yards (tackle by Amani Hooker and Mike Brown),2.65,3.38,10.0,2024,148
1.0,11:55,1.0,10.0,TEN 33,0.0,0.0,Derius Davis right end for 6 yards (tackle by T'Vondre Sweat),3.38,3.65,10.0,2024,148
1.0,11:17,2.0,4.0,TEN 27,0.0,0.0,Justin Herbert pass complete short right to J.K. Dobbins for 4 yards (tackle by Amani Hooker),3.65,4.04,10.0,2024,148
1.0,10:37,1.0,10.0,TEN 23,0.0,0.0,Justin Herbert scrambles up the middle for 8 yards (tackle by Harold Landry and Mike Brown),4.04,4.75,10.0,2024,148
1.0,10:01,2.0,2.0,TEN 15,0.0,0.0,"Penalty on TEN: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",4.75,4.91,10.0,2024,148
1.0,9:40,1.0,10.0,TEN 10,0.0,0.0,Gus Edwards right guard for 5 yards (tackle by Jack Gibbens and Kenneth Murray),4.91,5.15,10.0,2024,148
1.0,8:56,2.0,5.0,TEN 5,0.0,0.0,Justin Herbert pass incomplete short right intended for Hayden Hurst,5.15,4.26,10.0,2024,148
